word,page,radical,count,code,hanyu
󲪴,35,󳜳,3,fhgxm,（乐器的）簧片
󲪵,40,󳜳,3,fogxm,（田埂）
󲪶,56,󳜳,3,fhpxn,（语气助词）嘛
󲪷,67,󳜳,3,fvpxn,孵（动词）
󲪸,77,󳜳,3,fgfxv,1、混沌；2、浑浊；
󲪹,86,󳜳,3,fdhxc,制造
󲪺,89,󳜳,3,fyhxn,1、剪；2、裁剪；
󲪻,102,󳜳,3,fffxn,1、（抬）高、（垫）高；2、（敷衍）；
󲪼,103,󳜳,3,fggxn,一同，同时
󲪽,105,󳜳,3,fffxm,皴（cun）裂（（皮肤）因受冻而裂开）
󲪾,106,󳜳,3,fghxm,爱惜
󲪿,110,󳜳,3,fegxm,节省
󲫀,117,󳜳,3,ftgxm,的（人）
󲫁,124,󳜳,3,fghxm,1、掌握；2、（古时人名用词）
󲫂,126,󳜳,3,fthxz,（次）第
󲫃,131,󳜳,3,fgoxm,起
󲫄,131,󳜳,3,fgyxn,扶（老、弱）
󲫅,153,󳜳,3,fhhxz,1、敲打、击打；2、（斗殴）；
󲫆,154,󳜳,3,ffhxz,（拘禁、禁闭）
󲫇,158,󳜳,3,ffgxc,浓
󲫈,158,󳜳,3,fghxm,（决定）
󲫉,159,󳜳,3,ffxv,通（达）
󲫊,160,󳜳,3,ffxb,能
󲫋,169,󳜳,3,fggxn,（拼着）耍
󲫌,171,󳜳,3,fpixm,丢弃
󲫍,174,󳜳,3,fvvxm,（祷告）
󲫎,182,󳜳,3,fhhxm,颤（抖）
󲫏,183,󳜳,3,ffvxm,仇怨
󲫐,184,󳜳,3,fghxc,生、繁殖
󲫑,185,󳜳,3,fgoxz,挺（胸、腰、肚）
󲫒,189,󳜳,3,fffxz,惩治
󲫓,192,󳜳,3,fhixm,1、重；2、（沉甸甸）；
󲫔,192,󳜳,3,fghxm,1、（叙述）；2、（彝文文献的一种）；
󲫕,197,󳜳,3,fgqxz,（重叠词缀）
󲫖,203,󳜳,3,fchxz,1、闺女；2、（古语地名用词）；
󲫗,204,󳜳,3,fffxn,动
󲫘,205,󳜳,3,fgdxm,1、挥舞、抡；2、（地名用词）；
󲫙,209,󳜳,3,fghxm,篇（量词）
󲫚,220,󳜳,3,fgtxb,闲（闲人、游手好闲）
󲫛,224,󳜳,3,fvgxz,后脑勺
󲫜,231,󳜳,3,fgfxm,（词素）
󲫝,235,󳜳,3,fhhxn,篱笆
󲫞,237,󳜳,3,fgpxm,孤、寡
󲫟,243,󳜳,3,fuhxn,1、（秋千）；2、（招古，彝族撒尼支系一种祭祀活动）；
󲫠,249,󳜳,3,ffixm,1、乍（彝族“六祖”的第二支系名称）；2、（人名用词。乍木，彝族先民中最早出现的一位毕摩）；
󲫡,254,󳜳,3,ffgxz,（（向神）还愿）
󲫢,259,󳜳,3,fffxm,唆（狗）
󲫣,262,󳜳,3,fgixn,寻、找
󲫤,262,󳜳,3,fggxm,安放
󲫥,272,󳜳,3,ffgxc,（凑在一起）
󲫦,277,󳜳,3,fhyxn,俯冲
󲫧,278,󳜳,3,fghxz,脚
󲫨,279,󳜳,3,fggxn,（蟋蟀）
󲫩,297,󳜳,3,fghxz,经过、通过
󲫪,300,󳜳,3,fvfxn,镊子
󲫫,314,󳜳,3,ffqxz,1、（年景）；2、（三界四极）；
󲫬,320,󳜳,3,fghxm,1、（雨）停；2、（集市）散；
󲫭,321,󳜳,3,fghxv,从
󲫮,338,󳜳,3,foixm,（木盔（餐具））
󲫯,342,󳜳,3,fggxv,断定
󲫰,342,󳜳,3,fggxb,零碎
󲫱,381,󳜳,3,fggxz,房
󲫲,5,󳜳,4,ffjxm,替（他做）
󲫳,6,󳜳,4,fghgxz,同类
󲫴,32,󳜳,4,fgjxm,1、（豆）荚；2、（酸角）；
󲫵,46,󳜳,4,fghfxz,笨（不灵活）；
󲫶,46,󳜳,4,fgjxm,1、说；2、语言
󲫷,57,󳜳,4,fjfxz,（唢呐）
󲫸,71,󳜳,4,fggxv,客（做客、客店）
󲫹,72,󳜳,4,fgjhxn,漂（树叶水上漂）
󲫺,75,󳜳,4,fghixm,窄
󲫻,76,󳜳,4,fgghxv,1、武（彝族先世中一个部族名称）；2、（武慕（彝语指皇帝））；3、（阿武（彝族支系名））；4、（武僰（bo）（彝族先世武部族中僰人一支））；
󲫼,78,󳜳,4,fqggxv,（形容词）
󲫽,89,󳜳,4,ffggxm,鹿
󲫾,93,󳜳,4,fghfxm,1、（用手指）撮；2、撮（量词）；
󲫿,100,󳜳,4,fgfxm,1、（脊椎凹陷处）；2、（幽默、风趣、诙谐）；
󲬀,103,󳜳,4,fghhxn,（应该）
󲬁,105,󳜳,4,ffhxm,钉（子）
󲬂,106,󳜳,4,fghgxn,歪斜
󲬃,106,󳜳,4,ffhxv,防备
󲬄,106,󳜳,4,fhfxm,禁忌
󲬅,110,󳜳,4,fjgxn,（首长）
󲬆,110,󳜳,4,fyhgxz,强（强权）
󲬇,134,󳜳,4,ffghxn,（蜥蜴）
󲬈,139,󳜳,4,ffixm,（口、乳、胸）罩
󲬉,140,󳜳,4,ffhxz,（牛马）劳伤
󲬊,150,󳜳,4,fdxv,1、（虚荣、爱打扮）；2、（地区、区域）；3、（那里）；
󲬋,153,󳜳,4,fjjxz,如、及（我不及他）
󲬌,153,󳜳,4,fqjxm,1、倒；2、翻（翻车）
󲬍,161,󳜳,4,fgjxz,推、掀
󲬎,181,󳜳,4,ffsxm,鞋（子）
󲬏,188,󳜳,4,fghgxz,1、厩（名词）；2、（量词）（一圈羊）；
󲬐,190,󳜳,4,fgggxn,（衣服）皱
󲬑,191,󳜳,4,ffhxm,劝（酒、饭）
󲬒,191,󳜳,4,fgiixm,（坟墓）
󲬓,195,󳜳,4,fghqxn,（公牛）
󲬔,221,󳜳,4,fhfdxm,（生意）做成
󲬕,246,󳜳,4,fkxz,1、奴（婢）（当奴隶、伺候、服侍）；2、（人名用词）；
󲬖,248,󳜳,4,fqfxv,多、余、剩
󲬗,254,󳜳,4,fefxm,债务
󲬘,257,󳜳,4,fgthxz,1、交叉着、交错；2、（裙子）；
󲬙,268,󳜳,4,fgjxc,胆（猪胆、熊胆）
󲬚,269,󳜳,4,fghhxn,样（花样、模样）
󲬛,272,󳜳,4,fpghxz,（马嚼环）
󲬜,280,󳜳,4,fgfgxm,枪（手枪）
󲬝,284,󳜳,4,fgggxb,（裤）腰
󲬞,284,󳜳,4,fdgtxv,偿还、赔偿
󲬟,287,󳜳,4,ffgxm,闪（电）
󲬠,300,󳜳,4,fdxz,关系（（没）有关系）
󲬡,306,󳜳,4,ffhxm,（迎）接（客人）
󲬢,314,󳜳,4,fgzgxm,笑
󲬣,330,󳜳,4,fggdxm,（刀）鞘
󲬤,342,󳜳,4,fgppxm,通达、知晓、懂得
󲬥,347,󳜳,4,fgioxz,（砍柴刀）
󲬦,347,󳜳,4,fggqxn,（碗）
󲬧,383,󳜳,4,fghhxz,晕（头晕）
󲬨,387,󳜳,4,fthfxm,等待、等候
󲬩,7,󳜳,5,fjjxz,（须）根
󲬪,31,󳜳,5,fhggpxm,煮（酒颗）
󲬫,46,󳜳,5,fhgggxz,射（箭）
󲬬,46,󳜳,5,fgkxm,（梦）呓、语、话
󲬭,61,󳜳,5,fkgxm,1、温暖；2、晒（太阳）；
󲬮,63,󳜳,5,fghjxz,1、（纠缠）；2、（报应（恶果））；
󲬯,65,󳜳,5,fdhxz,摔（掉）（摔跤、被马摔下）
󲬰,65,󳜳,5,fffxm,1、权、政权；2、执法、司令；3、权势；
󲬱,70,󳜳,5,fhgggxc,用（用筷子、用钱）
󲬲,80,󳜳,5,fghphxn,（勇敢）
󲬳,88,󳜳,5,fghggxc,取（取火种）
󲬴,122,󳜳,5,fhghjxz,（象声词）
󲬵,127,󳜳,5,fthghxm,栓、系（栓猪）
󲬶,129,󳜳,5,fthhgxm,搅（浑浊）（把水搅浑了，搅（转））
󲬷,145,󳜳,5,fkgxn,（物体落水声、零零碎碎）
󲬸,164,󳜳,5,fgdxv,1、戴；2、穿（鞋子）；
󲬹,170,󳜳,5,ffhhxm,担任（担任工作）
󲬺,178,󳜳,5,fhhfhxn,吗（语气助词）
󲬻,185,󳜳,5,fghghxn,1、（樱桃）；2、（地名用词）；
󲬼,206,󳜳,5,fhghhxm,炸（爆炸）
󲬽,206,󳜳,5,fdfxm,1、（急火）烧；2、（象声词）（拖木棒之声）
󲬾,211,󳜳,5,fuhgdxv,归属
󲬿,233,󳜳,5,fhfhxm,成见
󲭀,261,󳜳,5,fghggxc,1、辛苦；2、气馁、疲倦；
󲭁,268,󳜳,5,fhggfxn,驮（名、量词）
󲭂,268,󳜳,5,fjjxm,（马）镫
󲭃,273,󳜳,5,fhhtgxn,犟
󲭄,277,󳜳,5,fhgghxc,编（篱笆）
󲭅,293,󳜳,5,fjqgxv,1、路；2、道理；
󲭆,296,󳜳,5,fghhgxz,1、（索梯）；2、（船桨）；
󲭇,307,󳜳,5,fgpghxc,生气
󲭈,307,󳜳,5,fghggxn,放（无响声的屁）
󲭉,313,󳜳,5,fgyfxz,悲恸
󲭊,329,󳜳,5,fgkxb,冠（子）
󲭋,329,󳜳,5,fgkxc,（排行第五）
󲭌,329,󳜳,5,fgjhxm,1、收（收庄稼）；2、招（招工）；
󲭍,355,󳜳,5,fjgfxn,（肋骨）
󲭎,381,󳜳,5,fghjxm,1、茬（名词）；2、茬（量词）；3、（大季小季）；
󲭏,387,󳜳,5,fgjdxm,（毕摩的法帽）
󲭐,31,󳜳,6,fhggghxm,（开）裂
󲭑,40,󳜳,6,ffffxm,片（量词）
󲭒,49,󳜳,6,fjijxm,（肮脏）
󲭓,156,󳜳,6,fjgjxz,（语气词）：呢；吗；啊；
󲭔,209,󳜳,6,fghfhxz,枯萎
󲭕,216,󳜳,6,fghhfxn,展（览）
󲭖,272,󳜳,6,fhthghxn,（因为）
󲭗,272,󳜳,6,fighhoxz,1、提（花），（刺绣的一种方法）；2、（地名用词）；
󲭘,273,󳜳,6,fdgkxn,1、稀疏；2、（词缀）；
󲭙,301,󳜳,6,fqhgggxv,1、幼、小；2、（兄弟、姐妹、家族）；3、（婶婶、后娘）；4、幺；
󲭚,304,󳜳,6,fthgggxz,糯（谷、米）
󲭛,334,󳜳,6,fgjfxb,簸（东西）
󲭜,341,󳜳,6,fgjjxz,（天）明、亮
󲭝,342,󳜳,6,fjgghxm,1、拌；2、（荞圪塔）；3、蒸（饭）；
󲭞,52,󳜳,7,fqjkxv,蔫
󲭟,85,󳜳,7,fddxm,（供）养
󲭠,146,󳜳,7,fhtghthxm,点（动词）（点豆腐、点眼药水）
󲭡,214,󳜳,7,fghjjxn,催
󲭢,229,󳜳,7,fgffgxm,（形容词缀）
󲭣,296,󳜳,7,fgjjgxc,折磨
󲭤,296,󳜳,7,fhgggfxm,1、涂抹；2（乌马）；3（孔雀）；
󲭥,307,󳜳,7,fggkgxn,（炒面）（名词）
󲭦,293,󳜳,8,fthgggggxm,枯萎
󲭧,17,󳜴,2,fpxz,（瘿袋）（大脖子）
󲭨,101,󳜴,2,foxz,（踩水）（游泳的一种动作）
󲭩,116,󳜴,2,fyxv,（口袋）
󲭪,148,󳜴,2,fhxz,（初）一
󲭫,180,󳜴,2,fjxz,听
󲭬,325,󳜴,2,fmxv,（挑箩）
󲭭,362,󳜴,2,fpxn,1、啃；2、咬（使动）；
󲭮,369,󳜴,2,fjxn,（砚台）
󲭯,376,󳜴,2,fhxn,（语气词）啊
󲭰,1,󳜴,3,fghxz,盖
󲭱,3,󳜴,3,fyhxv,严重、惨重
󲭲,5,󳜴,3,fphxv,钩
󲭳,13,󳜴,3,fghxz,1、驯服；2、（田）埂；
󲭴,19,󳜴,3,fyjxn,1、幅（量词）；2、匹（布的量词）；
󲭵,26,󳜴,3,fhfxz,1、（说）明；2、（过分）；
󲭶,42,󳜴,3,fgjxn,（送）脱
󲭷,43,󳜴,3,fghxv,（你、我、他）家
󲭸,47,󳜴,3,fugxn,富裕
󲭹,63,󳜴,3,fuyxv,（母羊）舔（崽）
󲭺,65,󳜴,3,fjjxn,甩
󲭻,87,󳜴,3,fhhxv,（强调）
󲭼,106,󳜴,3,fjxv,1、双、对（量词）2、双（数）、偶（数）
󲭽,124,󳜴,3,fghxv,（形容词缀）（亮晶晶）
󲭾,137,󳜴,3,fppxz,（马铜铃）
󲭿,144,󳜴,3,fghxc,踏（脚）
󲮀,145,󳜴,3,fhjxz,（拐杖）
󲮁,150,󳜴,3,fgmxn,（埋怨）
󲮂,154,󳜴,3,fpixz,（芋头）
󲮃,158,󳜴,3,fpdxm,1、印记；2、线索、迹象；
󲮄,161,󳜴,3,fghxn,（形容词缀）（静悄悄）
󲮅,168,󳜴,3,fhhxm,1、丢；2、投掷；
󲮆,184,󳜴,3,fovxb,闪（动）
󲮇,184,󳜴,3,fhqxn,（八角）
󲮈,190,󳜴,3,fghxz,延缓时间；缓（期）
󲮉,198,󳜴,3,fggxz,（斗笠）
󲮊,208,󳜴,3,fhhxn,团（量词）
󲮋,217,󳜴,3,fvvxv,迟
󲮌,232,󳜴,3,fhvxb,山羊
󲮍,250,󳜴,3,fqgxn,晌午（饭）
󲮎,253,󳜴,3,fghxc,错
󲮏,257,󳜴,3,fthxz,（燕麦）
󲮐,279,󳜴,3,fhdxm,（果断）
󲮑,309,󳜴,3,fghxn,砸
󲮒,316,󳜴,3,fggxn,（宝剑）
󲮓,316,󳜴,3,fguxn,蚁
󲮔,324,󳜴,3,fjxz,关（心）
󲮕,331,󳜴,3,fghxz,细（用来粉末状的物体等）
󲮖,334,󳜴,3,fefxn,槽
󲮗,340,󳜴,3,fggxz,到
󲮘,346,󳜴,3,fhhxn,（砂锅）
󲮙,369,󳜴,3,fjxz,1、鸡；2、酉（地支）；3、（地名用词）；4、（芫荽）；
󲮚,370,󳜴,3,fepxn,1、（无兴趣）；2、（无力气）；
󲮛,383,󳜴,3,fffxv,（马、羊）叫
󲮜,390,󳜴,3,fjjxv,急（食）
󲮝,10,󳜴,4,fgjxc,1、保护；2、担保；
󲮞,17,󳜴,4,fjgxz,价值、价格
󲮟,18,󳜴,4,fhhgxb,卷（衣袖、裤脚等）
󲮠,21,󳜴,4,fgjxc,（碓）担
󲮡,27,󳜴,4,fhghxz,豁（出）
󲮢,40,󳜴,4,fhfxv,破、损
󲮣,55,󳜴,4,fpghxc,（苗族）
󲮤,56,󳜴,4,fgghxc,不（否定副词）
󲮥,83,󳜴,4,fthgxn,1、（毛茸茸）；2、（面容憔悴）；
󲮦,94,󳜴,4,fdthxn,堵塞（洞口）
󲮧,102,󳜴,4,fjpxm,（后缀词）（红红的）
󲮨,106,󳜴,4,fgjxv,1、边缘；2、棱角；
󲮩,107,󳜴,4,fghgxv,椒类
󲮪,122,󳜴,4,fjgxn,取（下）
󲮫,122,󳜴,4,fghgxc,（语音）清脆
󲮬,128,󳜴,4,fihhxz,估计、估量；
󲮭,131,󳜴,4,fjdxn,（眼睛盯着看）
󲮮,133,󳜴,4,fjdxv,（一下、一会儿）
󲮯,145,󳜴,4,ffhxv,砣（量词）
󲮰,152,󳜴,4,fhofxz,赊（账）
󲮱,156,󳜴,4,fithxv,（袜子）
󲮲,167,󳜴,4,fgghxz,顽皮、俏皮；
󲮳,180,󳜴,4,fjdxz,肯
󲮴,181,󳜴,4,feffxn,（清明）
󲮵,183,󳜴,4,fifxc,光、赤；
󲮶,189,󳜴,4,fpghxn,顶替
󲮷,190,󳜴,4,fjhxv,（使）动
󲮸,205,󳜴,4,fhthxm,（死板、不灵活）
󲮹,207,󳜴,4,fggixz,1、安慰；2、诓；
󲮺,207,󳜴,4,ffthxn,扁（形）
󲮻,239,󳜴,4,fpjxn,哄
󲮼,247,󳜴,4,fhghxv,1、牵、延申；2、（发展、昌盛）
󲮽,260,󳜴,4,fkxn,撒（播）
󲮾,255,󳜴,4,fhghxb,撕
󲮿,262,󳜴,4,fhghxv,1、汗渍；2、污垢；
󲯀,266,󳜴,4,fghgxn,样
󲯁,267,󳜴,4,fyhhxn,（渺小、细微）
󲯂,292,󳜴,4,ffjxz,康复
󲯃,302,󳜴,4,fhgjxn,笙
󲯄,307,󳜴,4,fujxn,毡子
󲯅,315,󳜴,4,ffhxn,（啊呀）表示叹息
󲯆,321,󳜴,4,fhfhxm,（半夏）
󲯇,333,󳜴,4,fhjxn,1、筐、箩、笼；2、（量词）；
󲯈,341,󳜴,4,fjhxn,羡慕
󲯉,359,󳜴,4,fjgxn,（额头）
󲯊,361,󳜴,4,fhgvxn,华（美）
󲯋,364,󳜴,4,fhogxz,纠缠
󲯌,370,󳜴,4,fgjxz,间（天地之间）
󲯍,379,󳜴,4,fghuxz,（盐）咸
󲯎,82,󳜴,5,fghfxc,积、攒（钱）
󲯏,86,󳜴,5,fygugxn,（牲畜）刨（地）
󲯐,100,󳜴,5,fphphxn,（冻菌）
󲯑,103,󳜴,5,fgjfxm,虎（别称）
󲯒,103,󳜴,5,ffhfxm,（心）慌
󲯓,105,󳜴,5,fffxv,花（斑纹）
󲯔,121,󳜴,5,fgjgxn,（象声词）
󲯕,147,󳜴,5,fthhhxv,盖（屋顶）
󲯖,149,󳜴,5,ffhgxn,出力、奉献
󲯗,159,󳜴,5,fghthxn,（名声、身份、地位）
󲯘,165,󳜴,5,fgjuxn,（打）破
󲯙,165,󳜴,5,fgghgxv,（习惯）
󲯚,194,󳜴,5,fggthxn,（囤箩）
󲯛,215,󳜴,5,fgyghxv,设（宴）
󲯜,255,󳜴,5,fjugxc,（乱）撕，扯；
󲯝,263,󳜴,5,ffjxv,草；（稻草、泛指草类）
󲯞,269,󳜴,5,fghghxn,苦（味道）
󲯟,270,󳜴,5,fghghxn,馋
󲯠,321,󳜴,5,fhggixz,（叹息声（表示不如意））
󲯡,326,󳜴,5,fgifxb,挜（硬把东西送给或者卖个别人）
󲯢,338,󳜴,5,fggjxc,1、盘、馆；2、（量词）；
󲯣,343,󳜴,5,fghhgxn,（（籽粒）饱满、壮实）
󲯤,33,󳜴,6,fhghgjxn,（便宜）
󲯥,68,󳜴,6,fhffxn,1、（猪）叫；2、（象声词）；
󲯦,87,󳜴,6,fjfhxn,走样
󲯧,135,󳜴,6,fffhxz,凝结、凝固
󲯨,186,󳜴,6,ffighxc,（砍柴刀）
󲯩,232,󳜴,6,fhthghxn,1、惊（醒）；2、易受惊；3、（很有精神）；
󲯪,296,󳜴,6,fththgxn,软弱
󲯫,344,󳜴,6,fjiopxn,（（象声词）枪炮声）
󲯬,55,󳜴,7,fhgfjxv,（杜鹃）
󲯭,59,󳜴,7,fjgjhxn,（瞌睡）
󲯮,174,󳜴,7,fhtghthxv,（稀巴烂）
󲯯,258,󳜴,7,fkthfxn,（筲箕）
󲯰,279,󳜴,7,fffjhxn,1、迁、启；2、取；
󲯱,241,󳜴,9,ffddxv,碎
󲯲,115,󳜵,2,foxb,（（厦子）小屋檐）
󲯳,140,󳜵,2,fyxb,填
󲯴,317,󳜵,2,fhxb,（姑父）
󲯵,372,󳜵,2,fpxb,（以）后
󲯶,22,󳜵,3,fhgxb,（凡是）
󲯷,30,󳜵,3,fhgxn,欠（债）
󲯸,47,󳜵,3,fooxb,免疫
󲯹,56,󳜵,3,fpgxb,（饭（儿语））
󲯺,73,󳜵,3,fhhxb,掏（沟、水井等）
󲯻,101,󳜵,3,fiixb,恨、讨厌
󲯼,113,󳜵,3,fjxz,1、知道；2、（知识）；
󲯽,137,󳜵,3,fhyxc,捧
󲯾,138,󳜵,3,fjhxc,垫
󲯿,167,󳜵,3,fpyxb,1、喝；2、吸；
󲰀,202,󳜵,3,fohxb,獐（子）
󲰁,281,󳜵,3,ffgxb,偷盗
󲰂,328,󳜵,3,fghxz,正在
󲰃,356,󳜵,3,fhuxn,（草鞋）
󲰄,365,󳜵,3,fppxb,（你、我、他）们
󲰅,38,󳜵,4,ftfgxb,（显然）
󲰆,40,󳜵,4,fjfxb,1、薄；2、稀疏；
󲰇,60,󳜵,4,fyfxb,网
󲰈,76,󳜵,4,fgjxb,沤
󲰉,102,󳜵,4,fgfgxn,（告状）
󲰊,110,󳜵,4,fkxz,盛（世）
󲰋,122,󳜵,4,fhgqxz,甩打
󲰌,128,󳜵,4,fgghxz,想、欲
󲰍,149,󳜵,4,fjgxz,1、（天）地；2、（世上凡间）；
󲰎,156,󳜵,4,fdxb,（可惜）
󲰏,159,󳜵,4,fghgxz,得（助词）
󲰐,186,󳜵,4,ffhxb,（（重叠词缀）（毛发）蓬松）
󲰑,192,󳜵,4,fjgxb,害（命）
󲰒,195,󳜵,4,ffgxb,蟒
󲰓,242,󳜵,4,fvvvxb,排行第四
󲰔,311,󳜵,4,fhfxc,1、合缝；2、合拢；
󲰕,324,󳜵,4,fiiixb,烤（火，一般指取暖）；
󲰖,326,󳜵,4,fftxb,（牛枷担（农具））
󲰗,35,󳜵,5,ffygxb,（竹簾子（晒萝卜丝用））
󲰘,53,󳜵,5,fkkxb,1、绸缎；2、衣（古语）；
󲰙,64,󳜵,5,fkgxb,挑（使动）
󲰚,68,󳜵,5,fhgghxb,1、婚姻；2、许配；
󲰛,105,󳜵,5,ffhgxb,架、台（量词）
󲰜,199,󳜵,5,fdyxb,（（形容词缀）（黑黝黝）
󲰝,281,󳜵,5,fhghhxb,1、伤（说话伤人）；2、亏；
󲰞,311,󳜵,5,fhhghxc,1、（纸）；2、（书刊、报纸）；
󲰟,358,󳜵,5,fhfhxc,桩
󲰠,99,󳜵,6,fjgjxn,（事）因
󲰡,199,󳜵,6,fhgghyxb,（依靠（瞧得起））
󲰢,266,󳜵,6,fhjjxc,1、施（底肥）；2、（名词用字）；
󲰣,340,󳜵,6,htfhthxc,连累、牵连
󲰤,270,󳜵,7,ftjkxn,（烟）熏
󲰥,2,󳜶,2,ggxz,可以
󲰦,66,󳜶,2,gixz,1、（兄弟、姐妹、亲友）个、位（量词）；2、（这）种（人）；
󲰧,89,󳜶,2,ghxm,代
󲰨,136,󳜶,2,ggxm,奇数、单数
󲰩,142,󳜶,2,ggxm,钉（动词）
󲰪,193,󳜶,2,gsxm,挺（胸、腰、肚）；
󲰫,196,󳜶,2,gpxb,（骄傲）
󲰬,206,󳜶,2,ghxn,来
󲰭,205,󳜶,2,ggxb,1、庹（tuo，动词）；2、庹（量词）；
󲰮,211,󳜶,2,gqxm,过
󲰯,256,󳜶,2,ggxm,（爽快）
󲰰,264,󳜶,2,gdxz,夏
󲰱,263,󳜶,2,gyxb,图案
󲰲,271,󳜶,2,gfxz,九（数词）；
󲰳,271,󳜶,2,glxz,1、（对上级）请求；2、（对神灵）祈求；
󲰴,285,󳜶,2,gdxb,（毛发（蓬松））
󲰵,343,󳜶,2,ggxz,（火镰）
󲰶,7,󳜶,3,gdgxz,1、（刀子的）前缀词素；2、巴（豆）；
󲰷,17,󳜶,3,gggxb,（平安、顺利）
󲰸,20,󳜶,3,pggxz,1、（钹）；2、（瓢）；
󲰹,29,󳜶,3,gjxb,（公马）
󲰺,32,󳜶,3,gegxm,（蜥蜴）
󲰻,46,󳜶,3,gghxz,（经络病）
󲰼,48,󳜶,3,gpgxv,哄闹、喧哗
󲰽,50,󳜶,3,gggxn,菌（类、子）
󲰾,51,󳜶,3,gghxz,潜（水）
󲰿,57,󳜶,3,gghxn,反扣（把有口的器物反扣着）；
󲱀,73,󳜶,3,gthxn,野山药（野苕（tiao））
󲱁,73,󳜶,3,gtgxc,扒（攀援）
󲱂,85,󳜶,3,gghxm,暴（露）
󲱃,85,󳜶,3,ggpxn,（准备、预备）
󲱄,86,󳜶,3,gggxn,办（事）
󲱅,93,󳜶,3,gphxv,整（齐）
󲱆,100,󳜶,3,ggpxb,（物品、东西）
󲱇,101,󳜶,3,ggjxz,建造、建盖
󲱈,126,󳜶,3,gfpxm,（旅馆、客店）
󲱉,131,󳜶,3,gguxz,（经常（天天））
󲱊,131,󳜶,3,ggmxn,（巴豆（药物））
󲱋,132,󳜶,3,gyvxn,1、火（名词）；2、点（火）；3、火（五行数）；4、（火枪、火炮）；5、（火药）；
󲱌,142,󳜶,3,ggdxm,里（面）
󲱍,142,󳜶,3,ghjxm,锋利
󲱎,144,󳜶,3,ghgxz,砍、伐（树木）
󲱏,150,󳜶,3,ghgxz,清楚、透明、明白
󲱐,151,󳜶,3,gghxv,在（时态词）
󲱑,151,󳜶,3,ggfxb,（聪明、伶俐）
󲱒,154,󳜶,3,gfxb,1、边、界；2、方（矩形）；
󲱓,158,󳜶,3,gfxz,1、边、面、后；2、（跟随、继续）；3、（顶替）；
󲱔,164,󳜶,3,gghxm,有（古语）
󲱕,168,󳜶,3,gupxc,（嘴）巴
󲱖,174,󳜶,3,gfgxv,（猫的词尾）
󲱗,188,󳜶,3,gfxz,更替
󲱘,194,󳜶,3,gddxb,揭（开）
󲱙,195,󳜶,3,gjxz,1、容易；2、（很，（不得了（补语））；3、慢；
󲱚,207,󳜶,3,gffxb,干瘪、秕（bi）
󲱛,208,󳜶,3,ghgxb,棕（皮、树）
󲱜,210,󳜶,3,ggpxn,（连续不断地来）
󲱝,212,󳜶,3,gfgxb,（婚配）
󲱞,215,󳜶,3,ghhxb,1、解（开）；2、放（出去）；3、（睁眼）；
󲱟,220,󳜶,3,ghgxn,熟（过头）
󲱠,226,󳜶,3,ggdxn,（伤口）发炎
󲱡,231,󳜶,3,gggxz,别（动词）
󲱢,234,󳜶,3,gyhxc,（应该）
󲱣,246,󳜶,3,gggxz,钱财
󲱤,247,󳜶,3,ggfxn,道（量词）
󲱥,259,󳜶,3,jgyxn,筑（巢）、做（窝）
󲱦,260,󳜶,3,gggxm,驾（车）
󲱧,263,󳜶,3,ggkxv,签
󲱨,266,󳜶,3,ghyxn,（包茅）
󲱩,268,󳜶,3,gghxm,（家谱）
󲱪,269,󳜶,3,gfpxv,（法术）
󲱫,293,󳜶,3,gyfxz,愿意
󲱬,294,󳜶,3,ghhxm,（果吉，彝族家支）
󲱭,295,󳜶,3,gdhxc,起泡
󲱮,298,󳜶,3,gqhxn,导（导线（导纱子））
󲱯,301,󳜶,3,gghxz,您（敬称）
󲱰,308,󳜶,3,gfjxc,孝帕
󲱱,323,󳜶,3,gggxb,1、（芝麻）；2、（亲戚）；
󲱲,324,󳜶,3,gghxm,轴（车轴、轴承）
󲱳,326,󳜶,3,ggjxm,（梧桐树）
󲱴,330,󳜶,3,gpyxb,（角落）
󲱵,331,󳜶,3,gfgxz,隔断（奶）
󲱶,331,󳜶,3,gghxb,1、（行令、司令）；2、（布置、指挥）；
󲱷,338,󳜶,3,gjhxb,（城市）
󲱸,342,󳜶,3,ggoxm,垭（山垭）
󲱹,348,󳜶,3,ghyxn,1、尽；2、完了；
󲱺,351,󳜶,3,ghgxn,1、（利益）；2、（营养）；
󲱻,352,󳜶,3,gghxm,退
󲱼,358,󳜶,3,gggxn,五（数词）
󲱽,364,󳜶,3,gfpxn,掉、开（虚词）
󲱾,370,󳜶,3,gfpxc,越、愈
󲱿,382,󳜶,3,gthxn,1、善、贤、吉、良；2、（恩情）；
󲲀,2,󳜶,4,gghgxn,来由
󲲁,7,󳜶,4,gggfxn,摆设、陈列
󲲂,9,󳜶,4,ggggxn,1、交易；2、贩卖；
󲲃,11,󳜶,4,ghjxb,滚（使动）
󲲄,19,󳜶,4,jggpxn,剥（剥板栗）
󲲅,20,󳜶,4,ggfhxn,旗
󲲆,24,󳜶,4,gyghxb,轻率、马虎
󲲇,29,󳜶,4,gqqgxn,1、（屋）脊；2、（牛背）峰；
󲲈,38,󳜶,4,gfjxb,（显然）
󲲉,44,󳜶,4,gpgvxn,（大腿）
󲲊,52,󳜶,4,gkxb,妇（女）
󲲋,53,󳜶,4,gghhxz,名
󲲌,59,󳜶,4,gghgxz,地（副词）
