word,page,radical,count,code,hanyu
󲥑,57,󳜲,3,huhxz,尸（体）
󲥒,61,󳜲,3,hggxz,朝，向
󲥓,63,󳜲,3,hhhxz,东
󲥔,65,󳜲,3,hhhxc,1、干（燥）；2、穷（困）；
󲥕,76,󳜲,3,hghxn,磨（动词）
󲥖,78,󳜲,3,hyuxn,安心
󲥗,83,󳜲,3,hhhxz,1、顽皮，俏皮；2、开玩笑；
󲥘,85,󳜲,3,hphxz,挑拨
󲥙,89,󳜲,3,hhpxn,祖禄
󲥚,,,,,重字
󲥛,98,󳜲,3,hfxn,侧（身）
󲥜,99,󳜲,3,ghhxz,1、骑（动词）；2、骑（量词）；
󲥝,101,󳜲,3,hghxz,纠缠
󲥞,103,󳜲,3,hggxv,认真
󲥟,113,󳜲,3,hggxn,1、肝；2、（生血菜）
󲥠,116,󳜲,3,hthxv,（象声词）
󲥡,116,󳜲,3,hygxv,1、书；2、字；3、书信；
󲥢,118,󳜲,3,hfxv,三（数词）
󲥣,122,󳜲,3,ghhxz,1、柱子；2、极；
󲥤,126,󳜲,3,hhgxv,1、拼（力）；2、咬；
󲥥,129,󳜲,3,hgjxn,栽，种植
󲥦,131,󳜲,3,hhdxv,（螳螂）
󲥧,141,󳜲,3,hghxv,（麻疹）
󲥨,147,󳜲,3,hghxz,（壁虎）
󲥩,150,󳜲,3,hhpxm,（声音）
󲥪,151,󳜲,3,hhjxn,荸荠（荸荠）
󲥫,157,󳜲,3,hphxc,齐
󲥬,170,󳜲,3,hhoxz,妨碍
󲥭,171,󳜲,3,hppxm,烧（肉）的气味
󲥮,172,󳜲,3,hggxz,（火）旺
󲥯,178,󳜲,3,hjjxz,1、事情；2、事故；
󲥰,181,󳜲,3,huhxz,彝
󲥱,183,󳜲,3,hjxz,1、红；2、（火）旺；3、（部落名）；4、地名用词；5、人名用词；
󲥲,183,󳜲,3,hvhxz,堵（量词）
󲥳,187,󳜲,3,hfhxz,松脱
󲥴,188,󳜲,3,ghhxz,西（方）
󲥵,189,󳜲,3,hjtxz,摇动
󲥶,192,󳜲,3,hhyxn,沉（甸）
󲥷,194,󳜲,3,hhdxm,哼
󲥸,195,󳜲,3,hgpxn,下（雨）
󲥹,196,󳜲,3,hghxz,1、摇摆；2、（蠕动）
󲥺,196,󳜲,3,ghhxn,1、随便，胡乱；2、很、不得了（补语）；
󲥻,197,󳜲,3,hghxz,1、手；2、（私房）；2、（翅膀）；4、（胡琴）；
󲥼,199,󳜲,3,hpixm,山谷
󲥽,201,󳜲,3,hfgxv,1、（高山峻岭）；2、专用名词；3、（凤凰）；
󲥾,202,󳜲,3,hypxn,淤
󲥿,205,󳜲,3,ghfxm,（镰刀）
󲦀,210,󳜲,3,hgjxn,脱
󲦁,214,󳜲,3,hhoxz,纸，书
󲦂,220,󳜲,3,hjpxm,1、降落；2、落下；
󲦃,224,󳜲,3,hddxz,（络绎不绝）
󲦄,225,󳜲,3,hqqxn,围（堵）、围（攻）
󲦅,225,󳜲,3,hghxv,1、拨，扯；2、（词素）；
󲦆,227,󳜲,3,hghxb,（马）笼头
󲦇,227,󳜲,3,huoxb,嫌（人）
󲦈,228,󳜲,3,hpoxb,赚（钱）
