word,page,radical,count,code,pinyins,hanyu,hanyukey
󲜐,128,󳜰,2,hfxn,石屏:te⁵⁵/毕节:ȵdʑa³³,陷害,陷害
󲜑,143,󳜰,2,hjxm,威宁:tʼa²¹/红河:tʼa²¹/石屏:tʼᴀ²¹/盘县:ta²¹/大方:tʼa²¹/毕节:tʼa³³,兔子,兔子
󲜒,193,󳜰,2,hsxm,威宁:lɪ¹³/红河:li³³/隆林:lei⁵⁵/大方:ʟe³³/毕节:lɪ³³,（刀刃含钢不足而）卷,卷
󲜓,193,󳜰,2,hsxz,威宁:lɪ¹³/石林:ɬa³³/红河:la²¹/巍山:lᴀ²¹/喜德:ʑo⁵⁵、tɛ³³/楚雄:læ²¹/禄劝:lɚ⁵⁵/大方:lɛ¹³/石屏:læ¹³/永仁:lo²¹/隆林:la⁵⁵/毕节:lɪ¹³,1、舔；2、（专指母羊对出生羊崽的舔）,舔
󲜔,218,󳜰,2,hgxz,威宁:ɖu³³/喜德:dzɿ³³/毕节:ɖu²¹,便宜,便宜
󲜕,3,󳜰,3,hfgxm,喜德:pi²¹,埋怨,埋怨
󲜖,14,󳜰,3,hggxz,威宁:pu²¹/红河:per²¹/巍山:piɐ²¹/喜德:no³³/石屏:pia²¹/隆林:pu⁵³/毕节:tɕo⁵⁵,裱褙,裱褙
󲜗,42,󳜰,3,jdxn,威宁:bu³³/红河:bɤ³³/禄劝:bo²¹/石屏:bu³³/隆林:pɯa⁵⁵/大方:bo³³/盘县:bu³³,（木）渣,木渣
󲜘,53,󳜰,3,kxm,威宁:me³³/石林:mɛ⁵⁵/红河:ma⁵⁵/巍山:me²¹/喜德:mɿ²¹/楚雄:mə⁵⁵/禄劝:mɔ³³/大方:me³³/石屏:mɛ³³/永仁:mɛ⁵⁵/隆林:mɚ⁵³/盘县:mɚ²¹/毕节:me³³,尾，末,末尾/末/尾
󲜙,74,󳜰,3,jhxm,威宁:vu⁵⁵/石林:kɪ⁵⁵/红河:vɤ⁵⁵/巍山:le²¹/喜德:vɿ⁵⁵/楚雄:bə³³/禄劝:vi⁵⁵/大方:vu⁵⁵/石屏:vɤ⁵⁵/永仁:ɕi²¹/毕节:vu⁵⁵,（两边）分开,分开
󲜚,75,󳜰,3,hgpxn,威宁:vu³³/石林:vɐ²¹/红河:ɣo³³/巍山:va²¹/喜德:vo³³/楚雄:ɣo²¹/禄劝:vɤ³³/大方:vu³³/石屏:ɣo³³/永仁:ɣo²¹/隆林:vɯ³³/盘县:ɣʊ³³bvu³³,雪,雪
󲜛,102,󳜰,3,hpgxm,威宁:dzo³³tɛ⁵⁵/红河:（mɤ⁵⁵）tɕi²¹/巍山:te²¹/喜德:（ha³³）se³³/石屏:ti⁵⁵/永仁:tɛ⁵⁵/隆林:tɕou²¹/大方:tso³³/毕节:dzo³³,绊（舌）,绊舌
󲜜,133,󳜰,3,hghxn,威宁:to²¹、tʼi³³/石林:zɿ²¹/大方:zɿ²¹/喜德:to²¹/禄劝:tɔ²¹/石屏:to²¹/永仁:to²¹/毕节:to³³,1、指（人、物）；2、指向,指人/指物/指向/指
󲜝,139,󳜰,3,jdxm,威宁:tʼɪ³³/石林:tʼɤ³³/红河:tʼɣ³³/巍山:pao³³/喜德:tʼɛ³³/禄劝:pɔ²¹/石屏:tʼɤr³³/隆林:tʼɯa⁵³/大方:tʼie³³/毕节:tʼi³³,包、扎,包/包扎
󲜞,142,󳜰,3,hejxm,威宁:tʼa³³/石屏:tʼa³³/巍山:tɕiŋ³³/大方:tʼa³³,锐利,锐利
󲜟,144,󳜰,3,hdgxz,威宁:tʼo³³/喜德:tɛ³³/毕节:tʼo³³,这里,这里
󲜠,148,󳜰,3,hjhxm,毕节:tʼʊ³³/巍山:gɔ³³stʼi³³/大方:ȵdʑo³³,惊恐,惊恐
󲜡,155,󳜰,3,hgpxm,威宁:da³³/石林:de³³/红河:de³³/巍山:dɪ³³/喜德:dɔ³³/禄劝:da²¹/石屏:de³³/永仁:de³³/隆林:de⁵³/盘县:da⁵¹/大方:da³³/毕节:da³³,1、爬、攀、登；2、上（动词）,爬/攀爬/攀/攀登/登/上
󲜢,189,󳜰,3,hpfxm,威宁:ɬʊ¹³/巍山:pʼiao³³/大方:Vɯ³³/毕节:Ve²¹,飘,飘
󲜣,274,󳜰,3,htjxm,威宁:tɕo³³/红河:dʑʊ³³/巍山:tɕiŋ³³/喜德:tɕɔ³³/禄劝:tɕor²¹/石屏:tsʊ³³/隆林:ȵdʑɯ⁵³/盘县:dzʊ⁵¹/大方:tɕo³³/毕节:tɕo³³,（牛马）惊,惊/牛马惊
󲜤,275,󳜰,3,hegxz,禄劝:ɕɔ³³/大方:gɯ³³/毕节:tɕʊ⁵⁵,禁闭,禁闭
󲜥,320,󳜰,4,jfxn,威宁:ke³³/红河:pa²¹/毕节:ke²¹,八角,八角
󲜦,325,󳜰,4,jjxm,威宁:ku³³/红河:lɛ²¹/石屏:lɛ²¹/大方:ku³³/毕节:ku³³,幼,幼
󲜧,371,󳜰,4,jpxn,威宁:ɣo²¹/红河:ɣa²¹/巍山:pʼu²¹/禄劝:ɣɔ²¹/大方:ɣo²¹/石屏:ɣᴀ²¹/永仁:pʼɣ²¹/盘县:ɣo²¹/毕节:ɣo²¹,膨胀,膨胀
󲜨,387,󳜰,4,hegxm,威宁:ho²¹/石屏:mᴀ²¹/大方:ʑa⁵⁵/毕节:pʼi³³,高祖,高祖
󲜩,7,󳜰,4,kfxn,石屏:pᴀ⁵⁵/红河:pa⁵⁵/巍山:（ma²¹）ɤa³³（ʂu⁵⁵）/喜德:hi³³/永仁:tsʼə²¹,特地，专门,特地/专门
󲜪,9,󳜰,4,kgxn,威宁:po³³,翻,翻
󲜫,9,󳜰,4,hhtgxz,威宁:po³³/石林:pa³³/红河:po²¹/巍山:pu³³/喜德:po³³/楚雄:pɯ³³/禄劝:por²¹/大方:po³³/石屏:pɤr³³/永仁:pɯ³³/隆林:pɯ⁵³/盘县:pu⁵¹,爆,爆
󲜬,23,󳜰,4,hfhgxz,威宁:pʼo³³/石林:po³³/红河:pu³³/巍山:pʼo³³/喜德:pʼur³³/楚雄:pʼu⁵⁵/禄劝:pʼo²¹/石屏:pʼo³³/石屏:pur³³/永仁:pʼu³³/隆林:pʼu⁵³/盘县:pʼu⁵¹/毕节:pʼo³³,翻（开）,翻/翻开
󲜭,23,󳜰,4,jjhxn,威宁:pʼo²¹/石林:xi⁵⁵/红河:pʼa²¹/巍山:la³³/喜德:pʼo³³/楚雄:pʼa³³/禄劝:pʼɔ²¹/石屏:pʼa²¹/永仁:pʼɔ³³/大方:tʼɯ²¹/盘县:pʼo²¹/隆林:pʼɯa²¹/毕节:pʼo²¹,逃,逃
󲜮,29,󳜰,4,hfghxn,红河:bi⁵⁵/石屏:bi³³/巍山:piu⁵⁵,象声词（像枪弹飞驰声）,像枪弹飞驰声/枪弹飞驰声/飞驰声
󲜯,50,󳜰,4,htgjxz,威宁:mi³³/红河:tsʼu³³/喜德:tʂʼur³³/禄劝:tʂʼo³³/大方:mu³³,宝剑,宝剑/剑
󲜰,59,󳜰,4,jggxn,威宁:mu³³/石林:mu⁴⁴/红河:mo⁵⁵/喜德:mu³³/禄劝:mu³³/大方:mu⁵⁵/石屏:mo⁵⁵/盘县:mʊ³³/隆林:mu²¹/毕节:mu³³,1、（兄弟中的）长者，2，大,长者/大
󲜱,82,󳜰,4,bghxm,威宁:tso⁵⁵/石林:tso⁵⁵/红河:tɕʼa⁵⁵/巍山:ɣa³³/喜德:ʑa⁵⁵/禄劝:tsɔ⁵⁵/石屏:tsʼa⁵⁵/永仁:tsʼaŋ⁵⁵/隆林:tɕo⁵⁵/大方:tsʊ⁵⁵/毕节:gu²¹,唱,唱
󲜲,107,󳜰,4,hgjtxz,喜德:dzɿ²¹/大方:kʼuɤ⁵⁵,（马拴着）放牧,放牧/牧
󲜳,112,󳜰,4,htghxz,威宁:sɪ¹³/石林:si³³/巍山:xɯ⁵⁵/喜德:sɿ³³/盘县:ɕi²¹/隆林:xi²¹/毕节:sɪ¹³,（火）熄灭,熄灭/熄
󲜴,127,󳜰,4,jgyxn,威宁:ty⁵⁵/巍山:gu²¹/喜德:gu⁵⁵/禄劝:to⁵⁵/石屏:dzɿ²¹/大方:ne¹³/盘县:tɿ⁵⁵/毕节:ti⁵⁵,1、（精细地）缝，（缝制工艺之一）2、篾箩,精细地缝/缝/篾箩
󲜵,146,󳜰,4,htgjxn,威宁:tʼu³³/红河:tʼo³³/石屏:tʼo³³/隆林:tʼə⁵⁵/大方:tʼa³³/毕节:tʼu³³,1、乾坤；宇宙空间的）上下，2、开辟3、一个地名、人名,乾坤/上下/开辟
󲜶,162,󳜰,4,htgqxn,威宁:dɯ³³/红河:de⁵⁵/石屏:de⁵⁵/盘县:da³³/大方:dɯ³³/毕节:dɤ³³,（地）区,地区/区
󲜷,171,󳜰,4,hthpxn,威宁:nɪ³³/石林:ni³³/红河:ȵi³³/巍山:ʔm³³（ma³³）/喜德:hɛ³³/楚雄:ȵi³³/禄劝:ȵi²¹/石屏:ȵi³³/永仁:ni³³/隆林:nei⁵³dnɛ³³/毕节:ȵi⁵⁵,心,心
󲜸,222,󳜰,5,jhgxn,威宁:ɳɖe³³/石林:ʑi²¹/红河:go²¹/巍山:na⁵⁵/喜德:mi²¹/楚雄:di³³/禄劝:gɔ²¹/石屏:（me²¹）dʑe³³/大方:ɳɖe⁵⁵/毕节:de²¹,（熟）透,熟透/熟
󲜹,246,󳜰,5,hpghxm,威宁:dʐɯ³³/石林:zɤ⁴⁴/红河:Vɤ³³/巍山:fe³³/喜德:ŋdʐɿ³³/楚雄:tsə³³/石屏:tsʼɤ³³/永仁:tsa³³/隆林:Vɯa⁵³/盘县:dzɿ⁵¹/大方:fe²¹/毕节:tsʼɪ³³,焦（干），（干）脆,焦干/干脆//脆/干
󲜺,247,󳜰,5,hhgqxm,威宁:dʐʅ²¹、dʑɪ²¹/大方:dzɿ²¹/石屏:tsʼæ³³/永仁:dʑi³³/毕节:dʑie²¹,股（量词）,股
󲜻,270,󳜰,5,kmxn,威宁:tɕy⁵⁵/石林:tsɿ⁵⁵/红河:tsɿ²¹/巍山:tsɿ²¹/喜德:tsɿ²¹/楚雄:tsi⁵⁵/禄劝:tsɯ⁵⁵/大方:tɕi⁵⁵/石屏:tsɿ²¹/永仁:tsi⁵⁵/隆林:tɕɯ⁵⁵/毕节:tɕi⁵⁵,咳,咳
󲜼,271,󳜰,5,hfjxz,威宁:tɕy¹³/巍山:kõ⁵⁵/喜德:ho²¹/楚雄:dʑe³³/大方:kɯ³³/石屏:tᴀ³³/永仁:dʑi²¹/盘县:kɯ³³/毕节:kɯ³³,供奉,供奉/供
󲜽,323,󳜰,5,hgfxm,喜德:ko³³/毕节:ko³³,总是,总是
󲜾,291,󳜰,5,hiogxn,禄劝:dʑa³³/巍山:tɕi⁵⁵/毕节:dʑa³³,计较,计较
󲜿,305,󳜰,5,jggxm,威宁:ȵɯ¹³/红河:kʼa⁵⁵/巍山:kʼao⁵⁵/喜德:hi³³/禄劝:ʂɚ²¹/石屏:kʼᴀ⁵⁵/喜德:ȵɤ³³/盘县:ȵɪ³³/毕节:ȵi³³,（斜）靠,斜靠/靠
󲝀,328,󳜰,5,hhhjxm,威宁:kɯ⁵⁵/巍山:ʂa¹³/大方:kɯ⁵⁵/石屏:ku²¹/毕节:kɯ⁵⁵,煞气（旧时迷信说法）,煞气
󲝁,377,󳜰,5,hghgxm,威宁:ʔo²¹/喜德:ɛ²¹/盘县:ʔo²¹/毕节:ʔe³³,（语气助词）,语气助词
󲝂,383,󳜰,5,hggpxn,喜德:hɛ²¹/红河:xe³³/巍山:xe³³/石屏:xe²¹,（笑声）,靠声/靠
󲝃,20,󳜰,5,jpgyxn,威宁:pʼe⁵⁵/石林:tsʼa⁵⁵/红河:tsʼa⁵⁵/巍山:tɕʼaŋ⁵⁵/喜德:se²¹/楚雄:tɕʼa⁵⁵/禄劝:kɯ⁵⁵/大方:pʼw⁵⁵/石屏:næ²¹/永仁:si⁵⁵,呛,呛
󲝄,20,󳜰,5,jfhhxn,威宁:pʼe²¹/红河:pʼɛ²¹/巍山:pʼe⁵⁵/喜德:so³³/楚雄:pʼə³³/禄劝:pʼç²¹/大方:pʼɯ²¹/石屏:pʼe²¹/大方:pʼɯ²¹/永仁:pʼɛ³³/盘县:pʼɚ³³/隆林:pʼa²¹,灰（色）,灰色/灰
󲝅,20,󳜰,5,jfhhxm,威宁:pʼe²¹/石林:pe³³/巍山:pʼe⁵⁵/喜德:kɯ⁵⁵/楚雄:pʼə³³/禄劝:pʼç²¹/大方:pʼe²¹/石屏:pʼɛ²¹/永仁:pʼɛ⁵⁵/隆林:pʼe²¹/盘县:pʼɚ²¹/毕节:pʼe²¹,胛骨,胛骨/胛
󲝆,20,󳜰,5,hgtghxn,威宁:pʼe²¹/红河:（ti²¹）tsʼuo³³/巍山:（ti²¹）tsʼuo³³/喜德:mo²¹/石屏:kʼu²¹/隆林:pʼei²¹/大方:pʼa²¹/毕节:pʼe²¹,锄头,锄头/锄
󲝇,39,󳜰,5,kghxn,喜德:bu⁵⁵/毕节:bu¹³,（嫩、青）草,嫩草/青草/草
󲝈,43,󳜰,5,jguhxn,威宁:bu²¹/石林:pʼu³³/红河:dʑu⁵⁵/巍山:kʼuaŋ²¹/喜德:tʂɯ³³/楚雄:kʼuɛ²¹/禄劝:pʼɤ²¹/石屏:xɤ³³/永仁:kʼua²¹/盘县:mbu²¹/大方:mo¹³,吹嘘、夸口,吹嘘/夸口/吹牛
󲝉,67,󳜰,5,hgggmxn,喜德:fo²¹/石屏:ŋa³³/大方:xʊ³³/毕节:vʼɯ²¹,危及、威胁,危及/威胁
󲝊,76,󳜰,5,hjdxm,威宁:vu³³/石林:tɬɯ³³/红河:（de²¹）xɤ³³/巍山:pɸ³³/喜德:ɬɯ²¹/禄劝:vɔ³³/石屏:va³³/隆林:vɯ⁵³/大方:vr³³/毕节:va²¹,蝙蝠,蝙蝠
󲝋,87,󳜰,5,jpgvxn,威宁:tsɿ⁵⁵/石林:to²¹/巍山:teŋ⁵⁵/喜德:dʐɿ⁵⁵/大方:to³³/石屏:vu²¹/永仁:tsur⁵⁵/隆林:xe⁵⁵/毕节:tsɿ⁵⁵,瞪（眼）,瞪眼/瞪
󲝌,91,󳜰,5,hpghhxm,红河:tsʼa³³/石林:tʂʼa²¹/石屏:tsʼar²¹/巍山:pɔ¹³/毕节:tɕu³³,钹,钹
󲝍,98,󳜰,5,hgggpxn,威宁:dzɪ³³/石林:dza³³/巍山:sɿ⁵⁵/喜德:dʐɔ³³/楚雄:dzɛ³³/禄劝:dzər²¹/大方:kʼɯ³³/石屏:dzær³³/永仁:dza³³/毕节:dzɪ³³,匪,匪
󲝎,111,󳜰,5,hffxm,威宁:ndzɯ²¹,研究,研究
󲝏,110,󳜰,5,hhtthxm,威宁:ɴzɯ²¹/石林:tsɯ³³/红河:dʑɤ²¹/喜德:ndzi³³/禄劝:ndzʼɤ²¹/大方:ndze²¹/石屏:dzɤ²¹/永仁:dze³³/隆林:ȵdʑ²¹/盘县:ndzɯ²¹,商议,商议/议
󲝐,114,󳜰,5,khhxn,红河:sɛ⁵⁵/巍山:zeŋ⁵⁵/石屏:sɛ⁵⁵,（象声词）,拟声词
󲝑,119,󳜰,5,hdgxb,威宁:sɯ¹³/石林:hɪ²¹/红河:sɤ⁵⁵/巍山:ɕi⁵⁵/喜德:si³³/楚雄:sɯ²¹/禄劝:se³³/大方:sɯ³³/石屏:sɤ⁵⁵/永仁:si³³/隆林:ɕei³³/盘县:ɕɪ²¹/毕节:sɿ³³,选择,选择/选
󲝒,125,󳜰,5,hgyhhxn,石屏:zɿ²¹/红河:zu²¹/喜德:da⁵⁵/大方:ʟi³³/毕节:zr³³,蠕（动）,蠕动/蠕
󲝓,144,󳜰,5,ghhfxn,威宁:tʼo³³/石林:（ɛ³³）ke⁵⁵/红河:kʼɯ⁵⁵/巍山:（o²¹ɕi⁵⁵）/喜德:dʑɿ²¹/楚雄:to³³（bɛ²¹）/禄劝:tʼɔ²¹（kɯ⁵⁵）/永仁:tʼɔ³³/隆林:tʼo³³/盘县:tʼo⁵⁵/大方:tʼo³³/毕节:tʼo³³,1、下方；2、地名用字,下方/下
󲝔,144,󳜰,5,kgjxn,威宁:tʼo³³/石林:tɕɪ³³/红河:tɕe⁵⁵/喜德:tɕʼi²¹/大方:tʼɐ³³/石屏:dæ²¹/永仁:tɕʼe⁴⁴/大方:tʼɐ³³/毕节:tʼu³³,惬意草,惬意草
󲝕,147,󳜰,5,htghyxn,威宁:tʼu²¹/石林:tʼu³³/巍山:tʼu⁵⁵/喜德:tʼu³³/禄劝:tʼu²¹/大方:tʼu²¹/石屏:tʼo²¹/永仁:tʼu³/隆林:tʼɔ⁵³/盘县:tʼu²¹/大方:tʼɐ²¹/毕节:tʼu²¹,1、钻（孔）；2、穿（孔）；,钻孔/钻/穿孔/穿
󲝖,148,󳜰,5,htghmxn,威宁:tʼu²¹/喜德:tʼu²¹/毕节:tʼu²¹,土蚕子,土蚕子//蚕子
󲝗,154,󳜰,5,hghhuxn,喜德:dɛ²¹/大方:ȵi³³/毕节:pʼi²¹,制度,制度
󲝘,189,󳜰,5,hhggfxm,威宁:ɬɯ³³/盘县:ɬo³³/大方:ɸɯ³³/毕节:ɬɤ³³,白杨树,白杨树/白杨//杨/杨树
󲝙,198,󳜰,5,hdjxm,威宁:lo³³/巍山:di²¹kʼi⁵⁵/喜德:tɕo⁵⁵/禄劝:bɔ³³/石屏:bɤ⁵⁵,向（祖宗祝告）,向祖宗祝告/祝告
󲝚,207,󳜰,5,jgqgxn,威宁:ʈa¹³/石林:ʈɬe⁵⁵/红河:te²¹/巍山:dʑy⁵⁵/喜德:ʈɕo⁵⁵/禄劝:tar⁵⁵/石屏:te²¹/永仁:dzə³³/隆林:te⁵⁵/盘县:ta²¹/大方:ʈa¹³/毕节:ʈa¹³,鹰,鹰
󲝛,291,󳜰,5,jgqgxm,威宁:dʑa³³、dʑa²¹/石林:dʑe³³/红河:dʑe³³/巍山:gu⁵⁵/喜德:ŋgo³³/楚雄:dʑi³³/禄劝:dʑar²¹/大方:dʑa³³/石屏:dʑe³³/永仁:dʑe³³/隆林:dʑe⁵³/盘县:ŋgɯ²¹/毕节:dʑa³³,1、寒，冷；2；失望,寒冷/寒/冷/失望
󲝜,291,󳜰,5,jfhhxn,喜德:dʑo⁵⁵/红河:po³³/石屏:tɕi²¹/巍山:kuaŋ²¹/毕节:dʑo⁵⁵,管，筒,管/筒
󲝝,292,󳜰,5,hghggxn,威宁:dʑo²¹/石林:bi²¹/红河:tɕʼe²¹/巍山:tʂo²¹/喜德:tʂʼɔ²¹/楚雄:tʂʼa⁵⁵/禄劝:ȵɔ³³/大方:dʑo²¹/石屏:tɕʼe²¹/永仁:ʔe³³/毕节:dʑʊ²¹,（递给东西的）发音词,递给东西时的发音词//递东西/递给/给东西/给/递/发音词
󲝞,294,󳜰,5,hhgghxm,威宁:ȵdʑɪ³³/石林:gɐ³³/红河:（lɛ⁵⁵）go²¹/巍山:ɣᴀ³³/喜德:gɯ²¹/楚雄:kær³³/禄劝:go²¹/大方:ȵdʑe³³/石屏:go²¹/永仁:gʊ²¹/隆林:gʊ²¹/毕节:ȵdʑe³³,1、玩；2、耍；,玩/耍/玩耍
󲝟,295,󳜰,5,hhghgxn,毕节:ȵdʑe³³/石屏:ɬɯ³³/大方:ɬɐ³³,摇动,摇动/摇
󲝠,312,󳜰,5,higogxm,威宁:ʑɪ¹³/石林:kɤ⁴⁴/红河:tsʼɛ²¹/巍山:ɣɤr²¹/喜德:ʑɿ⁵⁵/楚雄:tsʼæ²¹/禄劝:ʂu³³/大方:ɣɛ¹³/石屏:ʑi²¹/永仁:tsʼɛ²¹/隆林:ɣi⁵⁵/盘县:ʑi²¹/毕节:ɣɪ¹³,1、锯；2、割；,锯/割
󲝡,317,󳜰,5,jgthxn,威宁:ʑʊ²¹/石林:ʐɐ⁵⁵/红河:ʑo²¹/巍山:ʐa⁵⁵/喜德:ʑi³³/楚雄:ʑo³³/禄劝:se⁵⁵/大方:zu²¹/石屏:zo³³/永仁:ʐu¹³/隆林:ʑu⁵³/毕节:ʑu²¹,右,右
󲝢,325,󳜰,5,hfghxm,威宁:ku⁵⁵/红河:ku³³/大方:kʼɐ⁵⁵/毕节:ku⁵⁵,凹,凹
󲝣,345,󳜰,5,hggghxn,喜德:gu³³dka³³/毕节:gu²¹,认真,认真
󲝤,349,󳜰,5,jhghxn,威宁:ŋgɪ³³/石屏:ȵe³³/大方:ŋgue³³/毕节:ŋgɪ¹³,笔管草（节节草）,笔管草/节节草//草
󲝥,360,󳜰,5,kggxn,威宁:xɪ³³/石林:ɕi³³/红河:nu³³/巍山:tɕʼy⁵⁵/喜德:ʂa³³/禄劝:ɕi²¹/大方:tsʼɯ²¹/石屏:ɕi³³/永仁:mɯ³³/隆林:mɯ²¹,1、（绵羊）毛；2、棉；,绵羊毛/羊毛/棉//毛/绵羊
󲝦,371,󳜰,5,hfjhxm,毕节:pʊ¹³/石屏:ʔu³³/巍山:toŋ³³/大方:tɯ⁵⁵,蹲,蹲
󲝧,25,󳜰,6,jdpppxb,威宁:pʼu³³/禄劝:pʼi³³/大方:pʼo³³/盘县:pʼur²¹/隆林:pʼaɯ²¹/毕节:pʼu³³,野葱（苦蒜）,野葱/苦蒜//葱/蒜
󲝨,28,󳜰,6,kpyuxn,石屏:pʼɤ³³/毕节:bu²¹,丰盛,丰盛
󲝩,30,󳜰,6,htghghxn,威宁:bi²¹/石林:pu³³/红河:bɤ²¹/禄劝:be²¹/大方:dɐ³³/石屏:bɤ²¹/毕节:bi²¹,松球,松球
󲝪,30,󳜰,6,jgjrxn,大方:bi²¹/石林:tsʼa²¹/禄劝:bo²¹/石屏:bo²¹/毕节:bi²¹,葵花,葵花/葵//花
󲝫,77,󳜰,6,hfffxn,威宁:vu¹³/石林:vi³³/红河:vi²¹/巍山:sɿ²¹/喜德:vɿ⁵⁵/楚雄:vi⁵⁵/禄劝:vɚ²¹/石屏:vi²¹/石屏:vi²¹/永仁:zɿ³³/大方:ʑi³³,麻（味）,麻味/麻
󲝬,111,󳜰,6,hjhghxm,威宁:ndzɿ³³/红河:kʼɤ⁵⁵/石屏:pɵ²¹/大方:tɕʼie²¹/毕节:tɕʼe²¹,纱（线）,纱线/纱//线
󲝭,117,󳜰,6,hthpjxn,威宁:sɯ⁵⁵/石林:si⁵⁵/红河:sɤ²¹/巍山:ɕy²¹/喜德:su²¹/楚雄:sɿ⁵⁵/禄劝:sɯ⁵⁵/大方:ɕi⁵⁵/石屏:sɤ²¹/永仁:sɿ⁵⁵/隆林:ʑe²¹/毕节:sɿ⁵⁵,像、相同,像/相同/同
󲝮,183,󳜰,6,jpghhxn,大方:nɯ²¹/石林:ɳe²¹/红河:ŋɤ²¹/巍山:ʔfɔ²¹/喜德:ȵɪ⁵⁵/毕节:nɤ²¹,额头,额头/额/头
󲝯,190,󳜰,6,hhghtghxm,威宁:ɬie¹³/石林:ɬɤ⁵⁵/红河:ɬɤ²¹/巍山:lɸ²¹/喜德:ɬi⁵⁵/楚雄:ɬɤ⁵⁵/禄劝:ɬɤr⁵⁵/石屏:ɬɤr²¹/永仁:lɤ⁵⁵/隆林:ɬɯa⁵⁵/盘县:ɬɯ²¹/大方:ɬi¹³/毕节:ɬi¹³,晒,晒
󲝰,219,󳜰,6,htgkxn,威宁:ɖʊ³³/楚雄:tɕʼa⁵⁵/禄劝:ɖu³³/石屏:du³³/永仁:lɔ⁵⁵/隆林:dʑe²¹/盘县:ndɿ⁵¹/大方:ɖɐ³³/毕节:ɖu³³,行走,行走/行/走
󲝱,259,󳜰,6,jjkxb,威宁:ʂo²¹/石屏:tsʼɿ²¹/大方:so¹³/毕节:ʂo¹³,承受,承受/承/受
󲝲,261,󳜰,6,jggfxn,威宁:ʂu³³/大方:pʼo²¹/毕节:no²¹,开（车）,开车//车
󲝳,297,󳜰,6,jpghqxn,威宁:ȵdʑʊ⁵⁵/禄劝:（tʼɔ³³pʼʊ⁵⁵）/毕节:ȵdʑʊ⁵⁵,土茯苓,土茯苓//茯苓
󲝴,316,󳜰,6,hdhgghxm,威宁:ʑa¹³/红河:me²¹/喜德:mɛ²¹/大方:ʑa¹³/石屏:mer²¹/毕节:ʑa¹³,松弛,松弛
󲝵,345,󳜰,6,hdhjxm,威宁:gu³³/石林:go²¹/红河:ga³³/巍山:kʼᴀ³³/喜德:ka³³/禄劝:gɔ³³/大方:gɐ³³/石屏:gᴀ³³/永仁:gɔ²¹/盘县:go³³/隆林:gu⁵³/毕节:gu¹³,1、耕；2、庄稼（古语，耕牧）,耕/庄稼/耕牧
󲝶,390,󳜰,6,jgpghxn,威宁:hɯ²¹/大方:hɯ²¹/石屏:go²¹/毕节:hɤ²¹,叛,叛
󲝷,31,󳜰,7,htghghdxn,威宁:bɪ¹³/巍山:bɯ³³/盘县:mbi²¹/大方:bi¹³/毕节:bi¹³,萌（发），萌（芽）,萌发/萌芽/发芽//芽//萌
󲝸,51,󳜰,7,jpffxn,威宁:mi²¹/石林:mu³³/红河:mu²¹/巍山:mu³³/喜德:mo²¹/楚雄:mɯ³³/禄劝:mu²¹/大方:mu²¹/石屏:mu²¹/永仁:mɯ³³/隆林:mɯ²¹/盘县:mu²¹/毕节:mu²¹、mi²¹,（粉）末，面,粉末/粉/面
󲝹,70,󳜰,7,hffgtxn,威宁:vi²¹/石林:vi³³/红河:vi²¹/巍山:（a⁵⁵）pa²¹/喜德:vɿ²/楚雄:vɿ²¹/石屏:vi²¹/永仁:i³³/隆林:vi²¹/大方:vi²¹/毕节:vi²¹,稗,稗
󲝺,78,󳜰,7,jffgxn,威宁:vɤ³³/红河:vi³³/喜德:lo³³/石屏:vɤ³³/大方:ʟi³³/毕节:vu⁵⁵,（形容词缀）,形容词缀
󲝻,108,󳜰,7,hgffgxm,喜德:ndzi²¹/大方:zi²¹/禄劝:zə⁵⁵,流（星）,流星/星
󲝼,121,󳜰,7,jgkgxn,威宁:zɪ¹³/石林:zi²¹/红河:zi²¹/巍山:zɿ²¹/喜德:zɿ⁵⁵/楚雄:zi³³/禄劝:zɛ¹³/石屏:ʑi²¹/永仁:zi²¹/隆林:ʑi⁵⁵/大方:ze¹³/毕节:zɪ¹³,1、豹；2、狼；,豹/狼/豹狼
󲝽,124,󳜰,7,htfkxn,大方:zɯ³³/红河:ze²¹/巍山:ba³³/喜德:ɕɿ³³/禄劝:zɯ⁵⁵/隆林:ȵdʑa²¹,1、光；2、闪亮；,光/闪亮/闪
󲝾,136,󳜰,7,hghffxz,威宁:tɯ¹³/红河:tɤ⁵⁵/大方:tɯ³³/石屏:tɤ⁵⁵/永仁:ti³³/隆林:dou⁵³/毕节:tɤ³³,起疹子,起疹子//疹子
󲝿,148,󳜰,7,htghghfxn,威宁:tʼu²¹/红河:tʼu³³/巍山:tʼu²¹/大方:ɬi⁵⁵/石屏:tʼu²¹,山楂鸟,山楂鸟//鸟
󲞀,164,󳜰,7,jfhfhxn,红河:dɤ⁵⁵/石屏:dɤ⁵⁵/盘县:dɯ³³,歧（视），鄙（视）,歧视/鄙视
󲞁,171,󳜰,7,hffgyxn,威宁:nɪ⁵⁵/红河:vi³³lme³³/石屏:vi³³/盘县:nɯ⁵¹/大方:ne⁵⁵/毕节:nɪ³³,轻快,轻快//轻/快
