word,page,radical,count,code,pinyins,hanyu,hanyukey
󳗢,5,󳝤,4,hggdxm,威宁:pa⁵⁵/石林:n³³/红河:nu³³/巍山:tʂʅ³³/喜德:tʂɿ³³;nɛ³³/楚雄:bɯ⁵⁵;dzɯ³³/禄劝:pa²¹/毕节:tʂʊ¹³/大方:po⁵⁵;tsɐ¹³/石屏:nu²¹/永仁:pɔ²¹/隆林:tɕaɯ⁵⁵,1、乳；2、哺乳；,乳/哺乳；
󳗣,5,󳝤,4,hgghxm,威宁:pa³³/石林:per³³/红河:pe³³/巍山:ta³³/禄劝:pa²¹/大方:pa³³/石屏:tsor²¹/永仁:tʂʼo³³/隆林:hou⁵³/盘县:pa²¹/毕节:pa³³/喜德:ge⁵⁵,1、搭配；2、合作；,搭配/合作；
󳗤,22,󳝤,4,hgkxn,威宁:pʼæ⁵⁵/巍山:pʼai⁵⁵,派（动词）,派（动词）
󳗥,63,󳝤,4,hghhxm,巍山:tsʼa⁵⁵/大方:fi³³/盘县:frɪ³³、m̩u³³/毕节:fi³³/喜德:mu³³,（烟尘、扬尘、灰尘）,（烟尘、扬尘、灰尘）
󳗦,74,󳝤,4,hgfxm,石屏:væ³³/红河:fri³³/巍山:pʼa³³/喜德:va³³/隆林:va⁵³/大方:ʟa³³/毕节:va³³,扒（pa）（饭吃）,扒（pa）（饭吃）
󳗧,81,󳝤,4,hghhxm,威宁:tsa⁵⁵/石林:（sɐ³³r）tɕɪ²¹/红河:tsa⁵⁵/巍山:tɕaŋ⁵⁵/禄劝:tʂo²¹/石屏:tɕe²¹（fu²¹）/毕节:tɕe⁵⁵,酱,酱
󳗨,85,󳝤,4,hghfxz,威宁:tsu⁵⁵/石林:dzi²¹/红河:dzɿ³³/巍山:kuaŋ³³/喜德:ki³³/楚雄:dzɿ²¹/禄劝:ndzʼu³³/大方:tsʊ⁵⁵/石屏:dzɿ³³/永仁:dzi²¹/毕节:tsu⁵⁵,官,官
󳗩,99,󳝤,4,hgghxz,威宁:dze³³/大方:dze³³,生（与熟相对）,生（与熟相对）
󳗪,111,󳝤,4,hgthxz,威宁:ndzɿ³³/石林:dzɤ³³/巍山:dʑɪ²¹/喜德:ɳdʐɿ³³/喜德:tɕɿ⁵⁵/禄劝:ȵdʑɤr²¹/大方:tʼɐ²¹/石屏:dzɤr³³/永仁:dʐi²¹/隆林:tʼə²¹/大方:tʼa²¹/盘县:ndzɯ⁵¹/毕节:ȵdʑi³³,捅,捅
󳗫,123,󳝤,4,hghgxz,威宁:zo⁵⁵/红河:zo⁵⁵/禄劝:zor²¹/大方:zu⁵⁵/石屏:kʼɯ⁵⁵/盘县:zo⁵⁵/大方:zo⁵⁵/毕节:zo⁵⁵/喜德:za³³,（轻轻的）,（轻轻的）
󳗬,130,󳝤,4,hggmxn,威宁:ta²¹/红河:dze²¹/巍山:du²¹/楚雄:dzə³³/禄劝:ndʼɔ⁵⁵/石屏:dʑe²¹、tᴀ²¹/永仁:dzə³³/大方:tsa³³/毕节:ŋgɯ²¹,打（卦）、投掷（占卜）,打（卦）、投掷（占卜）
󳗭,143,󳝤,4,dhggxm,威宁:tʼa²¹/红河:tʼe³³/巍山:to³³/喜德:tʼa²¹/禄劝:dzʼa²¹/石屏:tʼer²¹/毕节:tʼa¹³,滴（量词）,滴（量词）
󳗮,155,󳝤,4,hgghxz,威宁:da³³/石林:de³³/红河:de³³/巍山:dɪ³³/喜德:dɔ⁵⁵/石屏:de³³/禄劝:da³³/盘县:da⁵¹/隆林:de⁵³/大方:da³³/毕节:da³³,初（表示农历的某一天）,初（表示农历的某一天）
󳗯,160,󳝤,4,hgthxz,威宁:dʊ²¹/毕节:du⁵⁵,（衣）褊（bian）,（衣）褊（bian）
󳗰,212,󳝤,4,hgjgxz,威宁:ʈʼe³³/毕节:ʈʼe³³,（半声半声的咳嗽）,（半声半声的咳嗽）
󳗱,220,󳝤,4,hgqhxb,威宁:ɖʊ²¹/石屏:xæ³³/巍山:mi³³/大方:ɖu²¹,摄（像）、录（音）,摄（像）、录（音）
󳗲,224,󳝤,4,hgffxz,威宁:ɳo²¹/喜德:tɕi/石屏:ɳɤ²¹/大方:hɯ²¹/毕节:ɳo²¹,（形容词缀）（黑压压）,（形容词缀）（黑压压）
󳗳,228,󳝤,4,hgggxc,喜德:tʂo⁵⁵/禄劝:ȵdʑa⁵⁵/石屏:dɤr²¹/毕节:tʂa³³,玷污、污染,玷污、污染
󳗴,229,󳝤,4,hgqqxz,威宁:tʂu³³/石林:tʂɐ⁵/红河:tso³³/巍山:tʂa²¹/喜德:tʂᴀ³³/楚雄:tʂo⁵⁵/禄劝:tʂo³³/大方:tsu³³/石屏:tso³³/楚雄:tʂo⁵⁵/禄劝:tʂo³³/大方:tsu³³/石屏:tso³³/永仁:tʂo⁵⁵/隆林:tɕu⁵³/盘县:tsu³³,1、吃（使动）；2、喂；,吃（使动）/喂；
󳗵,268,󳝤,4,hghhxz,威宁:tɕi¹³/大方:dʑi²¹/巍山:xʊa⁵⁵/毕节:dʑi²¹,融化、溶化,融化、溶化
󳗶,318,󳝤,4,hggjxz,威宁:ʑɯ²¹/石林:ʐi³³/大方:ʑɯ²¹/石屏:zɤ²¹/盘县:ʑɪ²¹/毕节:ʑɤ²¹,往,往
󳗷,330,󳝤,4,hghdxm,大方:kuɛ³³/石屏:sɤ⁵⁵/永仁:kɛ⁵⁵/隆林:ki⁵³/毕节:kui⁵⁵,1、（占）卜；2、（啄木鸟）；,（占）卜/（啄木鸟）；
󳗸,350,󳝤,4,hghqxz,威宁:ŋgɪ¹³/石屏:dɿɤ²¹/盘县:dʑi⁵¹/隆林:dʑei²¹/大方:ŋde¹³/毕节:ŋgɪ¹³,超（越）,超（越）
󳗹,352,󳝤,4,hggfxz,威宁:ŋgo²¹/石林:sɤ⁴⁴/红河:ɕʊ⁵⁵/巍山:zɯr³³/禄劝:si⁵⁵/大方:ŋgo²¹/石屏:ʑɿ²¹/永仁:sɿ²¹/隆林:ʑə²¹/盘县:ŋgo²¹/毕节:ŋgo²¹,消、退,消、退
󳗺,355,󳝤,4,hghjxz,威宁:ŋe²¹,圣（圣人）,圣（圣人）
󳗻,363,󳝤,4,hgghxz,红河:xo²¹/石林:tʐɤ⁵⁵/石屏:xo²¹/毕节:xo¹³,（嫉妒）,（嫉妒）
󳗼,375,󳝤,4,hghhxm,威宁:ʔy³³/石林:xɯ⁵⁵/红河:ŋu³³/巍山:di⁵⁵/喜德:o³³/楚雄:（bu²¹）di³³/禄劝:ʔɯ³³/大方:ʔɯ³³/石屏:ʔɣ³³/大方:di³³（li⁴⁴）/隆林:ʑɯa³³/毕节:ʔɤ³³,肾,肾
󳗽,388,󳝤,4,hgfxz,威宁:hu⁵⁵/巍山:ʔlɿ²¹/大方:hʊ⁵⁵/石屏:ȵe³³/永仁:dzi³³/盘县:ho⁵⁵/隆林:ɬi⁵⁵/毕节:hu⁵⁵,1、禾（苗）；2、（蕨苔）；,禾（苗）/（蕨苔）；
󳗾,49,󳝤,5,hgghtxn,威宁:mi⁵⁵、ɬi⁵⁵/石林:ɕi³³/巍山:mi³³/喜德:ho⁵⁵/楚雄:ma⁵⁵/禄劝:li⁵⁵/大方:mi⁵⁵/石屏:dʑe²¹/永仁:mie³³/隆林:xɯa²¹/盘县:mi⁵¹/毕节:mi⁵⁵,（轻）撒、敷、掩（粉末）,（轻）撒、敷、掩（粉末）
󳗿,70,󳝤,5,hgfhxz,威宁:vɪ³³/红河:fɪ³³/巍山:pʼa³³/喜德:vɿ⁵⁵/大方:vɛ³³/毕节:vɪ³³/盘县:vɚ⁵¹/毕节:vɪ³³,扒（开）,扒（开）
󳘀,86,󳝤,5,hgjggxc,威宁:tsɯ³³/巍山:kua³³/隆林:ndʑu⁵³/大方:ga³³/毕节:tsɤ⁵⁵,灵巧、乖巧,灵巧、乖巧
󳘁,123,󳝤,5,hghghxz,威宁:zo²¹/石林:tɤ³³/红河:tso²¹/巍山:tʂo¹³/喜德:zo²¹/楚雄:tɛ³³/禄劝:zɔ²¹/大方:zo²¹/石屏:za²¹（tɛ³³）/隆林:ʑo²¹/盘县:zo⁵¹/毕节:zo²¹,着，中,着，中
󳘂,142,󳝤,5,dhgggxm,威宁:tʼa⁵⁵tʼe²¹/喜德:ha⁵⁵/大方:tʼa³³/毕节:tʼa³³,上方,上方
󳘃,157,󳝤,5,hggjxz,威宁:do²¹/大方:do²¹/红河:dzɤ²¹/喜德:ʑɔ²¹/禄劝:ndzʼə/石屏:zɤ²¹、dzɤ²¹/隆林:dʑə²¹/毕节:do²¹,整（齐）,整（齐）
󳘄,160,󳝤,5,hggfxm,大方:dʊ⁵⁵/石林:du²¹/红河:dɯ²¹/石屏:dɯr²¹/永仁:dɯ²¹/隆林:daɯ⁵³/毕节:du⁵⁵,（衣）襟,（衣）襟
󳘅,173,󳝤,5,hgfjxm,威宁:ne¹³/石林:nɛ³³/红河:nɛ⁵⁵/喜德:ȵi/楚雄:nɛ³³/禄劝:no³³/石屏:nɛ⁵⁵/永仁:næ³³/大方:nɯ³³/毕节:ne³³,春,春
