hanyu
陷害
兔子
（刀刃含钢不足而）卷
舔/（专指母羊对出生羊崽的舔）
便宜
埋怨
裱褙
（木）渣
尾，末
（两边）分开
雪
绊（舌）
指（人、物）/指向
包、扎
锐利
这里
惊恐
爬、攀、登/上（动词）
飘
（牛马）惊
禁闭
八角
幼
膨胀
高祖
特地，专门
翻
爆
翻（开）
逃
象声词（像枪弹飞驰声）
宝剑
（兄弟中的）长者，2，大
唱
（马拴着）放牧
（火）熄灭
（精细地）缝，（缝制工艺之一）篾箩
乾坤/宇宙空间的）上下，开辟一个地名、人名
（地）区
心
（熟）透
焦（干），（干）脆
股（量词）
咳
供奉
总是
计较
（斜）靠
煞气（旧时迷信说法）
（语气助词）
（笑声）
呛
灰（色）
胛骨
锄头
（嫩、青）草
吹嘘、夸口
危及、威胁
蝙蝠
瞪（眼）
钹
匪
研究
商议
（象声词）
选择
蠕（动）
下方/地名用字
惬意草
钻（孔）/穿（孔）/
土蚕子
制度
白杨树
向（祖宗祝告）
鹰
寒，冷/2/失望
管，筒
（递给东西的）发音词
玩/耍/
摇动
锯/割/
右
凹
认真
笔管草（节节草）
（绵羊）毛/棉/
蹲
野葱（苦蒜）
丰盛
松球
葵花
麻（味）
纱（线）
像、相同
额头
晒
行走
承受
开（车）
土茯苓
松弛
耕/庄稼（古语，耕牧）
叛
萌（发），萌（芽）
（粉）末，面
稗
（形容词缀）
流（星）
豹/狼/
光/闪亮/
起疹子
山楂鸟
歧（视），鄙（视）
轻快
成活
（溜）滑
地名，彝语专用名词用词
传递
恨
（手）镯
蜘蛛
纽扣
稳当
清洁
蒿枝
（连续不断）/笑呵呵
添补
水蒸气
犀（牛）
（手）巧
（人多）拥挤
增添
（重叠词缀）
箍
沉淀物
雄性（禽类）/地名用词
墙
搂（卷）
麻木
小跑，慢跑
君/人名用词
条
和睦，友好/爱好
（牛犁）担
向后仰
（牲畜在野外）吃草/
谎
甲（天干第一位）/人名用词/
升
悬挂
连接
凑在一起
镰刀
边（方位词）/方（面）
噗（象声词）
面（颊）
果断
天
火
穿（衣）（使动）
王
（蚱蜢）
（板栗）
（二）十
晴/太阳神/
人/他们/（领导）
丛、簇/
蛾子
下，降/
兄
抵、顶、撑/支持/
害羞
争夺/歪曲（语意）/
埋（葬）
就丛
单、独
晃荡
搾（张开大拇指和中指两端的长度）
（魔芋）
祖母，奶奶
产（生）/壬（天干第九位）/人名用词
纯净
缝（动词）
络绎不绝
（起）泡
火草
涂、抹、敷
大后天
宽
祷告
脱（落）
幼
源
跟、随、伴/侍从，部下
相信
绞痛
酒
沾（泥巴）
拧、扭（紧）
前、首先、开始/2，先前/事先/
（睡）觉
瞎
坐
（虫）
（菜）刀
声明
会/工匠
背部
威望
绝（种）
菜苔
矛
草果
（词头）阿
（因）为
土目（土司管辖下的头目）/官（家）/
（被高温汽水）熏烫
突然
背（背物（使动））
丙（天干的第三位）
下巴
（食用肉的前缀词素）/喜鹊/
（大口）吃
论（说）
雄性（泛指家畜）
神位/（肺）/
半
戏弄，逗乐
（墙壁的）洞眼
可惜
坤（卦）/人名用词
（不）止，（不）仅
鸣、叫
泥土
高/人名用词
岩
分（动词）
责任
傍晚
瞄准
戳
（捆）把
并排
韭菜
碎/自己的
斧头
一下/稍微/
胡须
乙（天干第二位）
滴（水）
灵活
主人
哪
钱（量词）
走/走（了）/
抚育/渐渐/殷殷/
（油）腻
很、大、最、更、极
彗星
（像啄木鸟啄树声）
