"word","weining","dafang","luquan","bijie","panxian","longlin","honghe","shiping","weishan","xide","chuxiong","yongren","shilin"
"󲜐",,,,"ȵdʑa³³",,,,"te⁵⁵",,,,,
"󲜑","tʼa²¹","tʼa²¹",,"tʼa³³","ta²¹",,"tʼa²¹","tʼᴀ²¹",,,,,
"󲜒","lɪ¹³","ʟe³³",,"lɪ³³",,"lei⁵⁵","li³³",,,,,,
"󲜓","lɪ¹³","lɛ¹³","lɚ⁵⁵","lɪ¹³",,"la⁵⁵","la²¹","læ¹³","lᴀ²¹","ʑo⁵⁵、tɛ³³","læ²¹","lo²¹","ɬa³³"
"󲜔","ɖu³³",,,"ɖu²¹",,,,,,"dzɿ³³",,,
"󲜕",,,,,,,,,,"pi²¹",,,
"󲜖","pu²¹",,,"tɕo⁵⁵",,"pu⁵³","per²¹","pia²¹","piɐ²¹","no³³",,,
"󲜗","bu³³","bo³³","bo²¹",,"bu³³","pɯa⁵⁵","bɤ³³","bu³³",,,,,
"󲜘","me³³","me³³","mɔ³³","me³³","mɚ²¹","mɚ⁵³","ma⁵⁵","mɛ³³","me²¹","mɿ²¹","mə⁵⁵","mɛ⁵⁵","mɛ⁵⁵"
"󲜙","vu⁵⁵","vu⁵⁵","vi⁵⁵","vu⁵⁵",,,"vɤ⁵⁵","vɤ⁵⁵","le²¹","vɿ⁵⁵","bə³³","ɕi²¹","kɪ⁵⁵"
"󲜚","vu³³","vu³³","vɤ³³",,"ɣʊ³³bvu³³","vɯ³³","ɣo³³","ɣo³³","va²¹","vo³³","ɣo²¹","ɣo²¹","vɐ²¹"
"󲜛","dzo³³tɛ⁵⁵","tso³³",,"dzo³³",,"tɕou²¹","（mɤ⁵⁵）tɕi²¹","ti⁵⁵","te²¹","（ha³³）se³³",,"tɛ⁵⁵",
"󲜜","to²¹、tʼi³³","zɿ²¹","tɔ²¹","to³³",,,,"to²¹",,"to²¹",,"to²¹","zɿ²¹"
"󲜝","tʼɪ³³","tʼie³³","pɔ²¹","tʼi³³",,"tʼɯa⁵³","tʼɣ³³","tʼɤr³³","pao³³","tʼɛ³³",,,"tʼɤ³³"
"󲜞","tʼa³³","tʼa³³",,,,,,"tʼa³³","tɕiŋ³³",,,,
"󲜟","tʼo³³",,,"tʼo³³",,,,,,"tɛ³³",,,
"󲜠",,"ȵdʑo³³",,"tʼʊ³³",,,,,"gɔ³³stʼi³³",,,,
"󲜡","da³³","da³³","da²¹","da³³","da⁵¹","de⁵³","de³³","de³³","dɪ³³","dɔ³³",,"de³³","de³³"
"󲜢","ɬʊ¹³","Vɯ³³",,"Ve²¹",,,,,"pʼiao³³",,,,
"󲜣","tɕo³³","tɕo³³","tɕor²¹","tɕo³³","dzʊ⁵¹","ȵdʑɯ⁵³","dʑʊ³³","tsʊ³³","tɕiŋ³³","tɕɔ³³",,,
"󲜤",,"gɯ³³","ɕɔ³³","tɕʊ⁵⁵",,,,,,,,,
"󲜥","ke³³",,,"ke²¹",,,"pa²¹",,,,,,
"󲜦","ku³³","ku³³",,"ku³³",,,"lɛ²¹","lɛ²¹",,,,,
"󲜧","ɣo²¹","ɣo²¹","ɣɔ²¹","ɣo²¹","ɣo²¹",,"ɣa²¹","ɣᴀ²¹","pʼu²¹",,,"pʼɣ²¹",
"󲜨","ho²¹","ʑa⁵⁵",,"pʼi³³",,,,"mᴀ²¹",,,,,
"󲜩",,,,,,,"pa⁵⁵","pᴀ⁵⁵","（ma²¹）ɤa³³（ʂu⁵⁵）","hi³³",,"tsʼə²¹",
"󲜪","po³³",,,,,,,,,,,,
"󲜫","po³³","po³³","por²¹",,"pu⁵¹","pɯ⁵³","po²¹","pɤr³³","pu³³","po³³","pɯ³³","pɯ³³","pa³³"
"󲜬","pʼo³³",,"pʼo²¹","pʼo³³","pʼu⁵¹","pʼu⁵³","pu³³","pur³³","pʼo³³","pʼur³³","pʼu⁵⁵","pʼu³³","po³³"
"󲜭","pʼo²¹","tʼɯ²¹","pʼɔ²¹","pʼo²¹","pʼo²¹","pʼɯa²¹","pʼa²¹","pʼa²¹","la³³","pʼo³³","pʼa³³","pʼɔ³³","xi⁵⁵"
"󲜮",,,,,,,"bi⁵⁵","bi³³","piu⁵⁵",,,,
"󲜯","mi³³","mu³³","tʂʼo³³",,,,"tsʼu³³",,,"tʂʼur³³",,,
"󲜰","mu³³","mu⁵⁵","mu³³","mu³³","mʊ³³","mu²¹","mo⁵⁵","mo⁵⁵",,"mu³³",,,"mu⁴⁴"
"󲜱","tso⁵⁵","tsʊ⁵⁵","tsɔ⁵⁵","gu²¹",,"tɕo⁵⁵","tɕʼa⁵⁵","tsʼa⁵⁵","ɣa³³","ʑa⁵⁵",,"tsʼaŋ⁵⁵","tso⁵⁵"
"󲜲",,"kʼuɤ⁵⁵",,,,,,,,"dzɿ²¹",,,
"󲜳","sɪ¹³",,,"sɪ¹³","ɕi²¹","xi²¹",,,"xɯ⁵⁵","sɿ³³",,,"si³³"
"󲜴","ty⁵⁵","ne¹³","to⁵⁵","ti⁵⁵","tɿ⁵⁵",,,"dzɿ²¹","gu²¹","gu⁵⁵",,,
"󲜵","tʼu³³","tʼa³³",,"tʼu³³",,"tʼə⁵⁵","tʼo³³","tʼo³³",,,,,
"󲜶","dɯ³³","dɯ³³",,"dɤ³³","da³³",,"de⁵⁵","de⁵⁵",,,,,
"󲜷","nɪ³³",,"ȵi²¹","ȵi⁵⁵",,"nei⁵³dnɛ³³","ȵi³³","ȵi³³","ʔm³³（ma³³）","hɛ³³","ȵi³³","ni³³","ni³³"
"󲜸","ɳɖe³³","ɳɖe⁵⁵","gɔ²¹","de²¹",,,"go²¹","（me²¹）dʑe³³","na⁵⁵","mi²¹","di³³",,"ʑi²¹"
"󲜹","dʐɯ³³","fe²¹",,"tsʼɪ³³","dzɿ⁵¹","Vɯa⁵³","Vɤ³³","tsʼɤ³³","fe³³","ŋdʐɿ³³","tsə³³","tsa³³","zɤ⁴⁴"
"󲜺","dʐʅ²¹、dʑɪ²¹","dzɿ²¹",,"dʑie²¹",,,,"tsʼæ³³",,,,"dʑi³³",
"󲜻","tɕy⁵⁵","tɕi⁵⁵","tsɯ⁵⁵","tɕi⁵⁵",,"tɕɯ⁵⁵","tsɿ²¹","tsɿ²¹","tsɿ²¹","tsɿ²¹","tsi⁵⁵","tsi⁵⁵","tsɿ⁵⁵"
"󲜼","tɕy¹³","kɯ³³",,"kɯ³³","kɯ³³",,,"tᴀ³³","kõ⁵⁵","ho²¹","dʑe³³","dʑi²¹",
"󲜽",,,,"ko³³",,,,,,"ko³³",,,
"󲜾",,,"dʑa³³","dʑa³³",,,,,"tɕi⁵⁵",,,,
"󲜿","ȵɯ¹³",,"ʂɚ²¹","ȵi³³","ȵɪ³³",,"kʼa⁵⁵","kʼᴀ⁵⁵","kʼao⁵⁵","ȵɤ³³",,,
"󲝀","kɯ⁵⁵","kɯ⁵⁵",,"kɯ⁵⁵",,,,"ku²¹","ʂa¹³",,,,
"󲝁","ʔo²¹",,,"ʔe³³","ʔo²¹",,,,,"ɛ²¹",,,
"󲝂",,,,,,,"xe³³","xe²¹","xe³³","hɛ²¹",,,
"󲝃","pʼe⁵⁵","pʼw⁵⁵","kɯ⁵⁵",,,,"tsʼa⁵⁵","næ²¹","tɕʼaŋ⁵⁵","se²¹","tɕʼa⁵⁵","si⁵⁵","tsʼa⁵⁵"
"󲝄","pʼe²¹","pʼɯ²¹","pʼç²¹",,"pʼɚ³³","pʼa²¹","pʼɛ²¹","pʼe²¹","pʼe⁵⁵","so³³","pʼə³³","pʼɛ³³",
"󲝅","pʼe²¹","pʼe²¹","pʼç²¹","pʼe²¹","pʼɚ²¹","pʼe²¹",,"pʼɛ²¹","pʼe⁵⁵","kɯ⁵⁵","pʼə³³","pʼɛ⁵⁵","pe³³"
"󲝆","pʼe²¹","pʼa²¹",,"pʼe²¹",,"pʼei²¹","（ti²¹）tsʼuo³³","kʼu²¹","（ti²¹）tsʼuo³³","mo²¹",,,
"󲝇",,,,"bu¹³",,,,,,"bu⁵⁵",,,
"󲝈","bu²¹","mo¹³","pʼɤ²¹",,"mbu²¹",,"dʑu⁵⁵","xɤ³³","kʼuaŋ²¹","tʂɯ³³","kʼuɛ²¹","kʼua²¹","pʼu³³"
"󲝉",,"xʊ³³",,"vʼɯ²¹",,,,"ŋa³³",,"fo²¹",,,
"󲝊","vu³³","vr³³","vɔ³³","va²¹",,"vɯ⁵³","（de²¹）xɤ³³","va³³","pɸ³³","ɬɯ²¹",,,"tɬɯ³³"
"󲝋","tsɿ⁵⁵","to³³",,"tsɿ⁵⁵",,"xe⁵⁵",,"vu²¹","teŋ⁵⁵","dʐɿ⁵⁵",,"tsur⁵⁵","to²¹"
"󲝌",,,,"tɕu³³",,,"tsʼa³³","tsʼar²¹","pɔ¹³",,,,"tʂʼa²¹"
"󲝍","dzɪ³³","kʼɯ³³","dzər²¹","dzɪ³³",,,,"dzær³³","sɿ⁵⁵","dʐɔ³³","dzɛ³³","dza³³","dza³³"
"󲝎","ndzɯ²¹",,,,,,,,,,,,
"󲝏","ɴzɯ²¹","ndze²¹","ndzʼɤ²¹",,"ndzɯ²¹","ȵdʑ²¹","dʑɤ²¹","dzɤ²¹",,"ndzi³³",,"dze³³","tsɯ³³"
"󲝐",,,,,,,"sɛ⁵⁵","sɛ⁵⁵","zeŋ⁵⁵",,,,
"󲝑","sɯ¹³","sɯ³³","se³³","sɿ³³","ɕɪ²¹","ɕei³³","sɤ⁵⁵","sɤ⁵⁵","ɕi⁵⁵","si³³","sɯ²¹","si³³","hɪ²¹"
"󲝒",,"ʟi³³",,"zr³³",,,"zu²¹","zɿ²¹",,"da⁵⁵",,,
"󲝓","tʼo³³","tʼo³³","tʼɔ²¹（kɯ⁵⁵）","tʼo³³","tʼo⁵⁵","tʼo³³","kʼɯ⁵⁵",,"（o²¹ɕi⁵⁵）","dʑɿ²¹","to³³（bɛ²¹）","tʼɔ³³","（ɛ³³）ke⁵⁵"
"󲝔","tʼo³³","tʼɐ³³",,"tʼu³³",,,"tɕe⁵⁵","dæ²¹",,"tɕʼi²¹",,"tɕʼe⁴⁴","tɕɪ³³"
"󲝕","tʼu²¹","tʼɐ²¹","tʼu²¹","tʼu²¹","tʼu²¹","tʼɔ⁵³",,"tʼo²¹","tʼu⁵⁵","tʼu³³",,"tʼu³","tʼu³³"
"󲝖","tʼu²¹",,,"tʼu²¹",,,,,,"tʼu²¹",,,
"󲝗",,"ȵi³³",,"pʼi²¹",,,,,,"dɛ²¹",,,
"󲝘","ɬɯ³³","ɸɯ³³",,"ɬɤ³³","ɬo³³",,,,,,,,
"󲝙","lo³³",,"bɔ³³",,,,,"bɤ⁵⁵","di²¹kʼi⁵⁵","tɕo⁵⁵",,,
"󲝚","ʈa¹³","ʈa¹³","tar⁵⁵","ʈa¹³","ta²¹","te⁵⁵","te²¹","te²¹","dʑy⁵⁵","ʈɕo⁵⁵",,"dzə³³","ʈɬe⁵⁵"
"󲝛","dʑa³³、dʑa²¹","dʑa³³","dʑar²¹","dʑa³³","ŋgɯ²¹","dʑe⁵³","dʑe³³","dʑe³³","gu⁵⁵","ŋgo³³","dʑi³³","dʑe³³","dʑe³³"
"󲝜",,,,"dʑo⁵⁵",,,"po³³","tɕi²¹","kuaŋ²¹","dʑo⁵⁵",,,
"󲝝","dʑo²¹","dʑo²¹","ȵɔ³³","dʑʊ²¹",,,"tɕʼe²¹","tɕʼe²¹","tʂo²¹","tʂʼɔ²¹","tʂʼa⁵⁵","ʔe³³","bi²¹"
"󲝞","ȵdʑɪ³³","ȵdʑe³³","go²¹","ȵdʑe³³",,"gʊ²¹","（lɛ⁵⁵）go²¹","go²¹","ɣᴀ³³","gɯ²¹","kær³³","gʊ²¹","gɐ³³"
"󲝟",,"ɬɐ³³",,"ȵdʑe³³",,,,"ɬɯ³³",,,,,
"󲝠","ʑɪ¹³","ɣɛ¹³","ʂu³³","ɣɪ¹³","ʑi²¹","ɣi⁵⁵","tsʼɛ²¹","ʑi²¹","ɣɤr²¹","ʑɿ⁵⁵","tsʼæ²¹","tsʼɛ²¹","kɤ⁴⁴"
"󲝡","ʑʊ²¹","zu²¹","se⁵⁵","ʑu²¹",,"ʑu⁵³","ʑo²¹","zo³³","ʐa⁵⁵","ʑi³³","ʑo³³","ʐu¹³","ʐɐ⁵⁵"
"󲝢","ku⁵⁵","kʼɐ⁵⁵",,"ku⁵⁵",,,"ku³³",,,,,,
"󲝣",,,,"gu²¹",,,,,,"gu³³dka³³",,,
"󲝤","ŋgɪ³³","ŋgue³³",,"ŋgɪ¹³",,,,"ȵe³³",,,,,
"󲝥","xɪ³³","tsʼɯ²¹","ɕi²¹",,,"mɯ²¹","nu³³","ɕi³³","tɕʼy⁵⁵","ʂa³³",,"mɯ³³","ɕi³³"
"󲝦",,"tɯ⁵⁵",,"pʊ¹³",,,,"ʔu³³","toŋ³³",,,,
"󲝧","pʼu³³","pʼo³³","pʼi³³","pʼu³³","pʼur²¹","pʼaɯ²¹",,,,,,,
"󲝨",,,,"bu²¹",,,,"pʼɤ³³",,,,,
"󲝩","bi²¹","dɐ³³","be²¹","bi²¹",,,"bɤ²¹","bɤ²¹",,,,,"pu³³"
"󲝪",,"bi²¹","bo²¹","bi²¹",,,,"bo²¹",,,,,"tsʼa²¹"
"󲝫","vu¹³","ʑi³³","vɚ²¹",,,,"vi²¹","vi²¹","sɿ²¹","vɿ⁵⁵","vi⁵⁵","zɿ³³","vi³³"
"󲝬","ndzɿ³³","tɕʼie²¹",,"tɕʼe²¹",,,"kʼɤ⁵⁵","pɵ²¹",,,,,
"󲝭","sɯ⁵⁵","ɕi⁵⁵","sɯ⁵⁵","sɿ⁵⁵",,"ʑe²¹","sɤ²¹","sɤ²¹","ɕy²¹","su²¹","sɿ⁵⁵","sɿ⁵⁵","si⁵⁵"
"󲝮",,"nɯ²¹",,"nɤ²¹",,,"ŋɤ²¹",,"ʔfɔ²¹","ȵɪ⁵⁵",,,"ɳe²¹"
"󲝯","ɬie¹³","ɬi¹³","ɬɤr⁵⁵","ɬi¹³","ɬɯ²¹","ɬɯa⁵⁵","ɬɤ²¹","ɬɤr²¹","lɸ²¹","ɬi⁵⁵","ɬɤ⁵⁵","lɤ⁵⁵","ɬɤ⁵⁵"
"󲝰","ɖʊ³³","ɖɐ³³","ɖu³³","ɖu³³","ndɿ⁵¹","dʑe²¹",,"du³³",,,"tɕʼa⁵⁵","lɔ⁵⁵",
"󲝱","ʂo²¹","so¹³",,"ʂo¹³",,,,"tsʼɿ²¹",,,,,
"󲝲","ʂu³³","pʼo²¹",,"no²¹",,,,,,,,,
"󲝳","ȵdʑʊ⁵⁵",,"（tʼɔ³³pʼʊ⁵⁵）","ȵdʑʊ⁵⁵",,,,,,,,,
"󲝴","ʑa¹³","ʑa¹³",,"ʑa¹³",,,"me²¹","mer²¹",,"mɛ²¹",,,
"󲝵","gu³³","gɐ³³","gɔ³³","gu¹³","go³³","gu⁵³","ga³³","gᴀ³³","kʼᴀ³³","ka³³",,"gɔ²¹","go²¹"
"󲝶","hɯ²¹","hɯ²¹",,"hɤ²¹",,,,"go²¹",,,,,
"󲝷","bɪ¹³","bi¹³",,"bi¹³","mbi²¹",,,,"bɯ³³",,,,
"󲝸","mi²¹","mu²¹","mu²¹","mu²¹、mi²¹","mu²¹","mɯ²¹","mu²¹","mu²¹","mu³³","mo²¹","mɯ³³","mɯ³³","mu³³"
"󲝹","vi²¹","vi²¹",,"vi²¹",,"vi²¹","vi²¹","vi²¹","（a⁵⁵）pa²¹","vɿ²","vɿ²¹","i³³","vi³³"
"󲝺","vɤ³³","ʟi³³",,"vu⁵⁵",,,"vi³³","vɤ³³",,"lo³³",,,
"󲝻",,"zi²¹","zə⁵⁵",,,,,,,"ndzi²¹",,,
"󲝼","zɪ¹³","ze¹³","zɛ¹³","zɪ¹³",,"ʑi⁵⁵","zi²¹","ʑi²¹","zɿ²¹","zɿ⁵⁵","zi³³","zi²¹","zi²¹"
"󲝽",,"zɯ³³","zɯ⁵⁵",,,"ȵdʑa²¹","ze²¹",,"ba³³","ɕɿ³³",,,
"󲝾","tɯ¹³","tɯ³³",,"tɤ³³",,"dou⁵³","tɤ⁵⁵","tɤ⁵⁵",,,,"ti³³",
"󲝿","tʼu²¹","ɬi⁵⁵",,,,,"tʼu³³","tʼu²¹","tʼu²¹",,,,
"󲞀",,,,,"dɯ³³",,"dɤ⁵⁵","dɤ⁵⁵",,,,,
"󲞁","nɪ⁵⁵","ne⁵⁵",,"nɪ³³","nɯ⁵¹",,"vi³³lme³³","vi³³",,,,,
"󲞂","ɖɯ⁵⁵","ɖʅ⁵⁵","dɯ²¹","ɖʅ⁵⁵",,"ɖə²¹","su⁵⁵","su⁵⁵","kᴀ²¹","mu³³","ko⁵⁵","se⁵⁵","si⁴⁴"
"󲞃","ɳɖa¹³","ɳɖa¹³","ɳɖʼa⁵⁵","ɳda¹³","ndi⁵¹","ʑei⁵³","di³³","di³³","mu³³","hɔ³³","ʑe³³","ʐi⁵⁵","ʑi⁴⁴"
"󲞄","tʂʼe²¹","tsʼɯ²¹",,"tʂʼe²¹",,,,,,"tʂʼe²¹",,,
"󲞅","ɳdʐo²¹","dzɿ²¹","dzɯ³³","ndʐo²¹",,"tʼə²¹","ti⁵⁵","tɕe⁵⁵","dzɿ⁵⁵","tsɿ³³","dzɿ³³",,"tse⁵⁵"
"󲞆","ʂo¹³","dzo³³",,"dzo³³",,"ɕi⁵³","ɕe²¹","ɕe²¹","xeŋ⁵⁵",,,,
"󲞇","dʑʊ²¹","dʑʊ²¹","dʑu²¹","dʑʊ²¹","dzu²¹",,"dʑo²¹","dzo²¹",,"gua⁵⁵","dʑo³³","dʑo³³","ku³³"
"󲞈","ȵy²¹","ȵie²¹","ȵɔ²¹","ȵe²¹","ȵɪ⁵¹","ne²¹","ȵa²¹","ŋa²¹（tsʼɛ²¹）","（ai²¹）ma³³","ȵi²¹","ma⁵⁵","mo³³","ȵɪ（mɛ³³）"
"󲞉","ʑi²¹","kue³³",,"ʑi¹³",,,,,"kɯ⁵⁵","mo²¹",,,
"󲞊","gɛ³³","gɛ³³","ɤɚ²¹","gɪ³³",,"kʼə²¹.ʑɚ⁵³","vɤ²¹","vɤ²¹","vẽ²¹","gu³³","və³³","vɤ⁴⁴","vɯ²¹"
"󲞋","ʔo³³","ʔʊ³³",,"ʅu³³",,,,,"xu⁵⁵",,,,
"󲞌","ji³³","fi³³","kʼɔ³³","fi³³","fɚr³³","kʼə⁵³","kʼo³³","kʼo³³","（i⁵⁵）kʼa²¹","kʼɯ³³",,"（i⁵⁵）kʼo²¹","kʼɐ²¹"
"󲞍","va³³","va³³",,"va³³",,,,"tɕe²¹",,,,,
"󲞎","ʈe²¹","ʈe²¹","ɳu⁵⁵","te⁵⁵",,"ʈɚ⁵⁵",,"ʈe³³",,,,,
"󲞏",,"sa¹³",,,,,,,,"ho³³",,,
"󲞐","dzʊ⁵⁵","ʑi²¹","dzɯ⁵⁵","dʐʊ⁵⁵",,,,"xɛ²¹",,,,,
"󲞑","sɿ⁵⁵","ʑi³³",,"ʑi³³",,,,,,,,,
"󲞒",,"gue²¹",,"zʊ³³",,,,,"kʊɯr³³","ȵɛ¹³",,,
"󲞓",,"lʊ⁵⁵",,"lʊ⁵⁵",,,,,,,,,
"󲞔","xɪ³³",,,"xɪ³³",,,,,,,,,
"󲞕","ȵdʑʊ⁵⁵","ȵdʑʊ⁵⁵","ʂi²¹","ȵdʑʊ⁵⁵","ndzɐ⁵⁵","tɕoʊ⁵⁵","pe²¹","kʊ³³","kʊ³³","tsɯ²¹","kʊ³³","kʊ³³","kʊ³³"
"󲞖","no²¹","no²¹","ndʼə²¹","no³³","no⁵¹","nɚ⁵³",,"nɛ²¹",,,,,
"󲞗","pi¹³","pu³³","pu³³","pi¹³","pʊ²¹","pʼɯ³³","pʼu²¹","pʼu³³","pa²¹","pu³³","pʼu³³","pu³³","pʼu³³"
"󲞘",,"bo³","bu³³","bʊ³³",,,"bu³³",,"di³³","dʑa³³",,,
"󲞙","mbɪ³³","ʟe³³","pʼa³³、pʼər²¹","mbɪ³³",,"tɕʼɚ⁵³",,"xa²¹","lɪ³³",,,,
"󲞚","fɪ¹³","fɛ¹³","fir⁵⁵","fɪ¹³",,"fɯ²¹","vi²¹","vi²¹","sɿ²¹","yu⁵⁵",,"mi²¹","fi⁵⁵"
"󲞛",,"ʈɯ²¹",,,,,,,,"dzɿ²¹",,,
"󲞜","ndzu³³","ȵdʑi³³","ndzʼɯ³³","ndzɿ³³","ɲdzɿ³³","ȵdʑɯ⁵³","dzɿ³³","dzɿ³³",,"ndzʅ³³","dzi²¹","dzi²¹","dzʅ²¹"
"󲞝","du⁵⁵","du⁵⁵","do⁵⁵","du⁵⁵","dɯ⁵⁵","dʼɯa²¹","do²¹","do²¹","de²¹","da⁵⁵","tsə⁵⁵","do²¹","dɐ²¹"
"󲞞","du³³","dɐ³³","so²¹","du³³","tʂʼu³³","ɕou²¹","dza³³","xor²¹",,"tʼɯ³³","tʼo²¹","to²¹",
"󲞟","lɪ³³","lie³³","li³³","le³³",,"lei⁵³","li³³",,,,"li³³","li³³",
"󲞠","lɪ¹³",,"li⁵⁵","ɳde³³",,,"li²¹","li²¹","（sa⁵⁵li²¹）kʼa⁵⁵",,,"li⁵⁵",
"󲞡","ɖa³³","ɖa³³","ɖa²¹",,"da⁵¹","ɖe⁵³","de³³","ɖe³³",,"ɖzɯ³³","lɔ⁵⁵","ɖa³³","ɖle³³"
"󲞢","ɖo³³","ɖo³³","ɳo²¹","ɖo³³",,,"xe³³",,,,,,
"󲞣","dʐe⁵⁵","dzie⁵⁵","dʐo⁵⁵","dʐe⁵⁵","dʑɚ⁵⁵",,,,,,,,
"󲞤","dʐe⁵⁵","dʐe⁵⁵","dʐo⁵⁵",,"dʑɚ⁵⁵","dʑa²¹","kua⁵⁵","dzɛ²¹","kua⁵⁵",,"ka⁵⁵","kua⁵⁵","ka⁵⁵"
"󲞥","dʐe⁵⁵","tsʼie⁵⁵",,"dʐe⁵⁵",,,,"dze²¹","kua⁵⁵",,,,
"󲞦","dʐe⁵⁵","dze⁵⁵",,"dʐe⁵⁵","dʑɚ⁵⁵",,"tse²¹","dzur³³",,,,,
"󲞧",,,"dʐe³³","tʂe⁵⁵",,,,"tɤ⁵⁵",,,,,
"󲞨","kʼo⁵⁵","kʼo⁵⁵","tə³³",,,"ku²¹","pæ²¹（li⁵⁵）","li⁵⁵",,"hɛ⁵⁵（gu³³）","mi⁵⁵（tsʼu³³）",,"dᴀ⁴⁴"
"󲞩","pʼa³³","pʼa³³","pʼar²¹","pʼa²¹","pʼa³³","pʼ¹³e","pʼe⁵⁵","pʼe⁵⁵","ta³³、ɕi⁵⁵","pʼa³³","pʼɿ²¹","kʼɛ²¹","pʼi⁵⁵"
"󲞪","pʼu²¹","pʼu²¹",,"pʼu²¹",,,,"pʼu²¹","pʼu²¹","pʼu²¹",,,
"󲞫","bʊ²¹","ʈʼʊ⁵⁵","bo²¹","bu²¹","bu²¹",,"bo³³","bo³³",,"bo³³",,,
"󲞬",,,,"dɪ³³",,,"tɕʼi³³dzu³³","tɕʼi³³dzu³³",,"mbɛ²¹",,,
"󲞭","mi³³","mu³³","mu³³","mu³³","mu³³","mɯ⁵³","mu³³","mu³³","ʔm²¹","mu³³","mɯ²¹",,"mu²¹"
"󲞮","me³³","mu³³","mu³³","me³³","mʊ³³","mu⁵³","me³³","mɛ³³",,"mu³³","mɯ²¹","mɯ²¹","mu²¹"
"󲞯","fi¹³","fɛ¹³","vi⁵⁵","fɪ³³","fi²¹","fei⁵⁵","fi²¹","fi²¹",,"ka⁵⁵",,,"fi⁵⁵"
"󲞰","fu³³","fu³³",,"fu³³",,,"fa³³","fa³³",,,,,
"󲞱","tsɪ⁵⁵",,"bu³³","mu⁵⁵",,"bɔ³³","pa³³","pæ³³","fu⁵⁵","bu³³",,,
"󲞲","tse¹³","tsɯ³³",,"tse³³","tɕɚ³³",,"tsi⁵⁵","tsær³³","tɕe²¹",,,"dzi³³","tsi⁵⁵"
"󲞳","tsɯ³³","tsɯ³³","tse³³","tsɿ³³","tɕɿ³³","tɕei³³","tsɤ⁵⁵","tsɤ⁵⁵","tɕi⁵⁵","tsi³³","tsi³³",,
"󲞴","tsʼo¹³","tsʼo¹³","tsʼo³³",,"tsʼur²¹","tɕʼou⁵⁵",,"so²¹","tɪ²¹","tsʼa³³",,,"go³³"
"󲞵","tsʼo²¹、tsʼo³³","tsʼo²¹","tsʼɔ²¹","tsʼo²¹","tsʼa²¹","tɕʼo³³","tsʼa²¹","tsʼa²¹","tsʼu⁵⁵","tsʼo³³","tsʼa¹³","tsʼɔ³³","tsʼo³³"
"󲞶","tsʼu²¹","tsʼʊ²¹","tsʼu²¹","tsʼu²¹","tsʼu³³","tɕʼɔ⁵³","bo²¹","bo²¹、pɤ²¹","pʼoŋ²¹","tsʼu²¹","tsʼu³³","tsu³³","tsʼɿ²¹"
"󲞷",,"mbu³³ʟu⁵⁵",,,,,"so⁵⁵","so⁵⁵",,,,,
"󲞸","za¹³","za¹³","zar⁵⁵","za¹³","ʑar²¹","ʑe⁵⁵",,"ʑe²¹",,"dʑi²¹",,,"ze²¹"
"󲞹",,"Ve⁵⁵",,"vɪ¹³、mu³³",,,"to⁵⁵","to⁵⁵","zɿ²¹",,,,
"󲞺","to³³",,,,,"tou⁵³","tu³³",,"to³³","tu³³",,"tu³³","to³³"
"󲞻","to³³","to³³","tɔ³³",,,"to³³","tɐ³³","tᴀ⁵⁵","to⁵⁵","to³³","ta³³","tɐ⁵⁵","to³³"
"󲞼",,,,"to³³",,,,"sto²¹","tuo¹³",,,,
"󲞽","tɯ⁵⁵","di⁵⁵",,"ti⁵⁵",,"taɯ²¹","tɤ³³","tɤ²¹","ty²¹","tɯ⁵⁵",,"tɯ⁵⁵","du⁵⁵"
"󲞾","tɯ³³","tɯ³³",,,,,,,,,,,
"󲞿","tɯ³³","tɯ³³","te³³","tɤ³³",,"ti⁵³","tɤ³³","tɤ³³","ti²¹","ti³³","ti⁵⁵","ti⁵⁵","tsi⁵⁵"
"󲟀","tɯ²¹","tɯ²¹",,"tɤ²¹",,,,,"ŋa³³",,,,
"󲟁","tʼɯ²¹","tʼɯ²¹","tʼɯ²¹","tʼɤ²¹",,"tʼaɯ²¹","tʼɤ²¹","tu³³","tʂa²¹","tɕʼu³³",,"tʼɯ³³",
"󲟂",,"tʼɯ²¹","go²¹",,,,,,"le⁵⁵","zᴀ⁵⁵",,,
"󲟃","da³³","da³³",,"da³³",,,"pʼi³³","næ³³","ȵi³³、nai³³","vo⁵⁵",,,"pʼi²¹"
"󲟄","dɯ¹³","da³³",,"du¹³","dɿ²¹",,"dɯ²¹","dɯ³³",,"du³³",,,
"󲟅","ndɯ⁵⁵","ndi⁵⁵",,"ndi⁵⁵",,"daɯ⁵⁵","xa²¹","xᴀ²¹",,"ndaɿ⁵⁵","di²¹","xɐ³³","xo³³"
"󲟆","nɪ¹³","ɳɛ¹³","ʂo⁵⁵",,"nɯ²¹","tɕei⁵⁵","xɯ³³","xɯ³³","liɐo²¹","ȵu⁵⁵","sɤ⁵⁵",,"na⁵⁵"
"󲟇","no²¹","ɳo²¹","no³³","no²¹",,,"zɤ²¹（k）ȵdʑə²¹","zɛ³³",,,,,
"󲟈","ɬu²¹",,,,,,"ʔɤ³³",,"pʼɐ⁵⁵","ɬɿ⁵⁵",,,"ɬɯ¹³"
"󲟉","ʈe⁵⁵","ʈʅ⁵⁵",,"tʅ⁵⁵","to⁵⁵",,,,,,,,
"󲟊","ʈa³³","ɳɖa³³",,"ta³³",,"ndei⁵³",,,,,,,
