"word","weining","dafang","luquan","bijie","panxian","longlin","honghe","shiping","weishan","xide","chuxiong","yongren","shilin"
"󳅽","bi¹³","bi¹³","bə⁵⁵","bi²¹","bʊ²¹","baɯ⁵⁵","bɤ²¹","bɤ²¹","by²¹","bi⁵⁵","bɤ²¹","bɤ²¹","bɤ²¹"
"󳅾","bi²¹","bi²¹",,"bi²¹",,,"bu²¹",,,"bu²¹",,,"bu²¹"
"󳅿","ba³³","ba³³",,,,,"ba³³","bɤ²¹、ba³³",,,,,
"󳆀","bu²¹",,,,,,,,,,,,
"󳆁","mbo³³","mbo³³","mbʼor²¹","mbo³³","mbu⁵¹","mbu⁵³","bur³³","bur³³","bo³³","mbur³³","bu³³","bu³³","bo³³"
"󳆂",,,,"mi⁵⁵",,"ɕi⁵⁵",,,,"mi⁵⁵",,,
"󳆃","mɪ¹³","mɛ⁵⁵","mi⁵⁵","mɪ¹³",,"mei⁵⁵","me²¹","bu³³、ȵe³³","mu²¹","mɿ⁵⁵",,"me³³","di³³"
"󳆄",,,,,,"mə³³","mu²¹","mu²¹",,,,,
"󳆅","mu²¹","mʊ²¹","ler²¹","mɤ²¹",,"lɯ²¹","bɤ⁵⁵","mo²¹、bɛ⁵⁵","ʑuŋ²¹、tɕʼiu²¹","ma³³（li³⁴）","me²¹",,
"󳆆",,,,"fi³³",,,"fi⁵⁵","fri⁵⁵",,,,,
"󳆇",,,,"tso²¹",,"tɕʼe⁵³","de²¹（xɤ²¹）","der²¹（xɤ²¹）","vaŋ³³","tsɔ³³",,,"（dle³¹pɯ⁴⁴）"
"󳆈","tsu³³","ʔɐ³³","tsu³³","tso¹³",,"tɕɚ³³","tɤ³³",,"taŋ²¹","ti³³（tsu³³）",,"tɤ³³","tɤ³³"
"󳆉","dzu²¹","ɕie³³",,"dʐu⁵⁵",,"tɕiu⁵³",,,"ɤo²¹","si³³",,,
"󳆊",,"se²¹","nɯ⁵⁵","ʂʅ⁵⁵",,,,"（ʑe²¹）su⁵⁵",,"si³³",,,
"󳆋","sɿ⁵⁵",,,"sɿ⁵⁵",,,,"sɤ³³","sɿ³³",,,,
"󳆌",,,,"ŋa³³、ɣi⁵⁵",,,"tᴀ⁵⁵","tᴀ⁵⁵",,,,,
"󳆍","tu²¹","tu²¹","tu²¹","tu²¹",,,"tu²¹","dʑe²¹","tu²¹",,,"tu²¹",
"󳆎",,,,"pu³³",,,"sɛ³³","po³³","tʼu³³","bu³³",,,"tʼɛ²¹"
"󳆏",,,"tɯ²¹","tʼu²¹",,,"ga²¹、dʑɪ²¹","tɕi³³、tʼɯ³³","ɣu⁵⁵、çi³³","tiʊ²¹",,"tʼɯ³³","tʼo³³"
"󳆐","du²¹","du²¹",,"du²¹","du²¹","dɔ²¹",,,"tʼaŋ³³",,,,
"󳆑","ndu⁵⁵",,,"ndu⁵⁵",,,,"sɤ³³",,,,,
"󳆒","ndu²¹","ndu²¹","ndʼu²¹","ndu²¹","ndu²¹","ndɯ²¹、ndaɯ⁵⁵","dɛ³³","dɯ²¹、dɛ³","ti²¹、de²¹","de⁵⁵",,"de³³",
"󳆓","na³³","na³³","na²¹","na³³","na⁵¹","ŋi³³、ȵi³³","ne³³","ȵi⁵⁵","i⁵⁵","ȵɔ³³","me³³",,"ne³³"
"󳆔",,"nɐ³³","no³³","no³³","nb³³","no³³","no³³","no³³",,,,"no³³",
